COD_EMPRESA,CODIGO,DESCRICAO,PRECO_MIN,PRECO_MAX,CV,HIPOTESE,EMBALAGEM_SUSPEITA
8,119959,ADAPTA.CX.ELET.AL    3/4   56251/052,3.68,362.14,4.628,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=100); preço por unidade de armazenagem ≈ R$3.62. Conversão presente (≠1) — não é o bug de conversão ausente.",não
4,119959,ADAPTA.CX.ELET.AL    3/4   56251/052,3.68,391.54,4.573,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=100); preço por unidade de armazenagem ≈ R$3.92. Conversão presente (≠1) — não é o bug de conversão ausente.",não
2,119959,ADAPTA.CX.ELET.AL    3/4   56251/052,3.04,391.54,4.118,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=100); preço por unidade de armazenagem ≈ R$3.92. Conversão presente (≠1) — não é o bug de conversão ausente.",não
3,369633,CANALETA S/DIV. ADESIV. 10X10 2MT BR,7.25,745.4,3.889,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=100); preço por unidade de armazenagem ≈ R$7.45. Conversão presente (≠1) — não é o bug de conversão ausente.",não
3,270605,CX.ELET.PLS 4X4 AM OCT0G.  57500/004,6.51,371.6,3.66,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=60); preço por unidade de armazenagem ≈ R$6.19. Conversão presente (≠1) — não é o bug de conversão ausente.",não
5,270605,CX.ELET.PLS 4X4 AM OCT0G.  57500/004,7.25,371.6,2.933,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=60); preço por unidade de armazenagem ≈ R$6.19. Conversão presente (≠1) — não é o bug de conversão ausente.",não
4,421744,PRATO SMES.CER.19CM SICILIANO  92956,10.49,299.14,2.38,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=12); preço por unidade de armazenagem ≈ R$24.93. Conversão presente (≠1) — não é o bug de conversão ausente.",não
4,326263,SUPORTE 4X2 3MOD.  BR 850200DUALE UP,1.58,50.3,2.014,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=25); preço por unidade de armazenagem ≈ R$2.01. Conversão presente (≠1) — não é o bug de conversão ausente.",não
2,472199,CANECA CER.270ML           PT 004503,6.29,227.85,1.943,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=36); preço por unidade de armazenagem ≈ R$6.33. Conversão presente (≠1) — não é o bug de conversão ausente.",não
4,421659,PRATO RASO CER.26CM         VM 88335,9.35,430.5,1.912,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=12); preço por unidade de armazenagem ≈ R$35.88. Conversão presente (≠1) — não é o bug de conversão ausente.",não
4,177360,TUBO P/VALVULA DESCARGA           BR,3.14,178.4,1.868,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=20); preço por unidade de armazenagem ≈ R$8.92. Conversão presente (≠1) — não é o bug de conversão ausente.",não
4,392084,CX.ELET.EX.PLS  5 ENTRADAS PLASTIBOX,8.14,208.85,1.867,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=20); preço por unidade de armazenagem ≈ R$10.44. Conversão presente (≠1) — não é o bug de conversão ausente.",não
1,326263,SUPORTE 4X2 3MOD.  BR 850200DUALE UP,1.68,52.4,1.828,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=25); preço por unidade de armazenagem ≈ R$2.10. Conversão presente (≠1) — não é o bug de conversão ausente.",não
3,326263,SUPORTE 4X2 3MOD.  BR 850200DUALE UP,1.26,36.65,1.797,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=25); preço por unidade de armazenagem ≈ R$1.47. Conversão presente (≠1) — não é o bug de conversão ausente.",não
5,440829,ABRACAD.PLS ELET.       3/4  TMC  PT,2.31,128.0,1.701,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=100); preço por unidade de armazenagem ≈ R$1.28. Conversão presente (≠1) — não é o bug de conversão ausente.",não
4,445737,PRATO RASO PORC.28CM BLACK    003771,25.1,394.8,1.687,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=12); preço por unidade de armazenagem ≈ R$32.90. Conversão presente (≠1) — não é o bug de conversão ausente.",não
6,326263,SUPORTE 4X2 3MOD.  BR 850200DUALE UP,1.26,42.94,1.677,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=25); preço por unidade de armazenagem ≈ R$1.72. Conversão presente (≠1) — não é o bug de conversão ausente.",não
1,393065,PLACA CX.ELET.PLS CEGA   3/4 PLASTI.,4.26,77.39,1.663,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=20); preço por unidade de armazenagem ≈ R$3.87. Conversão presente (≠1) — não é o bug de conversão ausente.",não
5,445759,PRATO SMES.PORC.21CM OSTERIA  116398,35.6,514.5,1.648,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=12); preço por unidade de armazenagem ≈ R$42.88. Conversão presente (≠1) — não é o bug de conversão ausente.",não
3,392084,CX.ELET.EX.PLS  5 ENTRADAS PLASTIBOX,7.93,151.2,1.643,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=20); preço por unidade de armazenagem ≈ R$7.56. Conversão presente (≠1) — não é o bug de conversão ausente.",não
5,393065,PLACA CX.ELET.PLS CEGA   3/4 PLASTI.,4.3,88.1,1.593,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=20); preço por unidade de armazenagem ≈ R$4.40. Conversão presente (≠1) — não é o bug de conversão ausente.",não
2,466292,VEDAFLEX MASTIQUE PU CZ         800G,52.4,707.6,1.548,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=12); preço por unidade de armazenagem ≈ R$58.97. Conversão presente (≠1) — não é o bug de conversão ausente.",não
4,393065,PLACA CX.ELET.PLS CEGA   3/4 PLASTI.,3.86,86.0,1.538,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=20); preço por unidade de armazenagem ≈ R$4.30. Conversão presente (≠1) — não é o bug de conversão ausente.",não
3,472141,PRATO RASO CER.24CM        AZ 022538,10.49,131.15,1.498,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=12); preço por unidade de armazenagem ≈ R$10.93. Conversão presente (≠1) — não é o bug de conversão ausente.",não
2,471272,XICARA CAFE PORC.65ML C/P     102868,8.39,96.5,1.485,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=12); preço por unidade de armazenagem ≈ R$8.04. Conversão presente (≠1) — não é o bug de conversão ausente.",não
3,403806,PRATO FUNDO CER.22CM GRECIA AE015108,16.7,215.14,1.482,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=12); preço por unidade de armazenagem ≈ R$17.93. Conversão presente (≠1) — não é o bug de conversão ausente.",não
2,393065,PLACA CX.ELET.PLS CEGA   3/4 PLASTI.,4.03,90.2,1.473,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=20); preço por unidade de armazenagem ≈ R$4.51. Conversão presente (≠1) — não é o bug de conversão ausente.",não
2,351418,PRATO SMES.CER.20CM S.LUIS J069-6779,20.9,227.85,1.465,"Preço alto = venda em embalagem/caixa (EMBALAGEM=1, CONVERSAO=12); preço por unidade de armazenagem ≈ R$18.99. Conversão presente (≠1) — não é o bug de conversão ausente.",não
