NIVEL_1,RECEITA,QTD_ARMAZENAGEM,TRANSACOES,SKUS_ATIVOS,UNIVERSO,PRECO_MEDIO_ARMAZENAGEM,TICKET_MEDIO_TRANSACAO,PARTICIPACAO_RECEITA_PCT,PARTICIPACAO_QTD_PCT,QTD_ARMAZENAGEM_2024,QTD_ARMAZENAGEM_2025,RECEITA_2024,RECEITA_2025,TRANSACOES_2024,TRANSACOES_2025,DELTA_RECEITA_2025_VS_2024,VAR_RECEITA_2025_VS_2024_PCT,DELTA_QTD_ARMAZENAGEM_2025_VS_2024,VAR_QTD_ARMAZENAGEM_2025_VS_2024_PCT,DELTA_TRANSACOES_2025_VS_2024,VAR_TRANSACOES_2025_VS_2024_PCT
D - ELETROS,197570549.210439,194585.000000,60693,286,REDE_COMPLETA,1015.343162,3255.244414,40.945928,4.191941,149976.000000,44609.000000,145077510.402583,52493038.807856,43615,17078,-92584471.594727,-63.817246,-105367.000000,-70.255908,-26537,-60.843746
C - PISOS E REVESTIMENTOS,54643661.465974,779089.610000,43921,325,REDE_COMPLETA,70.137839,1244.135185,11.324742,16.783911,551213.840000,227875.770000,37030589.759499,17613071.706475,29409,14512,-19417518.053024,-52.436427,-323338.070000,-58.659280,-14897,-50.654562
R - ELETRONICOS,47868778.312185,19821.000000,7874,28,REDE_COMPLETA,2415.053646,6079.347004,9.920667,0.427003,10768.000000,9053.000000,25214890.975276,22653887.336909,3531,4343,-2561003.638367,-10.156711,-1715.000000,-15.926820,812,22.996318
I - ILUMINACAO,25323418.840395,556375.000000,121468,213,REDE_COMPLETA,45.515019,208.478108,5.248206,11.985975,339248.000000,217127.000000,16279121.444245,9044297.396150,74243,47225,-7234824.048095,-44.442350,-122121.000000,-35.997559,-27018,-36.391310
"K - CAMA, MESA E BANHO",23212282.177587,440229.000000,185127,358,REDE_COMPLETA,52.727744,125.385720,4.810679,9.483844,340644.000000,99585.000000,17333694.042854,5878588.134733,130334,54793,-11455105.908121,-66.085774,-241059.000000,-70.765667,-75541,-57.959550
O - MOVEIS,22722892.600933,70744.000000,41752,193,REDE_COMPLETA,321.198866,544.234829,4.709254,1.524036,50260.000000,20484.000000,17137452.839933,5585439.761000,28480,13272,-11552013.078933,-67.407993,-29776.000000,-59.243932,-15208,-53.398876
B - UTILIDADES DOMESTICAS,22513813.983700,721870.000000,239045,529,REDE_COMPLETA,31.188183,94.182325,4.665923,15.551230,538868.000000,183002.000000,15560898.198090,6952915.785610,169679,69366,-8607982.412480,-55.318031,-355866.000000,-66.039550,-100313,-59.119278
U - METAIS E ACESSORIOS,20361396.718842,275018.000000,92116,142,REDE_COMPLETA,74.036597,221.040826,4.219841,5.924707,194971.000000,80047.000000,13972894.058080,6388502.660761,60623,31493,-7584391.397319,-54.279317,-114924.000000,-58.944151,-29130,-48.051070
S - TINTAS E QUIMICOS,18899431.247968,216422.000000,43300,65,REDE_COMPLETA,87.326756,436.476472,3.916853,4.662375,126417.000000,90005.000000,11418451.550886,7480979.697082,30042,13258,-3937471.853804,-34.483413,-36412.000000,-28.803088,-16784,-55.868451
E - MATERIAIS ELETRICOS,11332398.322962,1054619.000000,123882,111,REDE_COMPLETA,10.745490,91.477360,2.348607,22.719635,547022.000000,507597.000000,6190250.553250,5142147.769712,70373,53509,-1048102.783539,-16.931508,-39425.000000,-7.207206,-16864,-23.963736
