NIVEL_1,NIVEL_2,RECEITA,QTD_ARMAZENAGEM,TRANSACOES,SKUS_ATIVOS,UNIVERSO,PRECO_MEDIO_ARMAZENAGEM,TICKET_MEDIO_TRANSACAO,PARTICIPACAO_RECEITA_PCT,PARTICIPACAO_QTD_PCT,QTD_ARMAZENAGEM_2024,QTD_ARMAZENAGEM_2025,RECEITA_2024,RECEITA_2025,TRANSACOES_2024,TRANSACOES_2025,DELTA_RECEITA_2025_VS_2024,VAR_RECEITA_2025_VS_2024_PCT,DELTA_QTD_ARMAZENAGEM_2025_VS_2024,VAR_QTD_ARMAZENAGEM_2025_VS_2024_PCT,DELTA_TRANSACOES_2025_VS_2024,VAR_TRANSACOES_2025_VS_2024_PCT
D - ELETROS,DA - AR E VENTILACAO,119617421.659254,136639.000000,32495,123,REDE_COMPLETA,875.426647,3681.102374,24.790366,2.943611,107501.000000,29138.000000,93637738.401883,25979683.257372,23216,9279,-67658055.144511,-72.255115,-78363.000000,-72.895136,-13937,-60.031875
C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,54087458.166994,773244.690000,43299,315,REDE_COMPLETA,69.948697,1249.161832,11.209470,16.657994,546528.840000,226715.850000,36597589.436499,17489868.730495,28988,14311,-19107720.706004,-52.210326,-319812.990000,-58.517130,-14677,-50.631296
R - ELETRONICOS,RA - IMAGEM,47348811.333185,19069.000000,7355,23,REDE_COMPLETA,2483.025399,6437.635803,9.812905,0.410803,10429.000000,8640.000000,24914282.590276,22434528.742909,3286,4069,-2479753.847367,-9.953142,-1789.000000,-17.154090,783,23.828363
D - ELETROS,DB - REFRIGERACAO,31059804.716277,11234.000000,5613,46,REDE_COMPLETA,2764.803696,5533.547963,6.437055,0.242014,6499.000000,4735.000000,17577937.434037,13481867.282239,3406,2207,-4096070.151798,-23.302337,-1764.000000,-27.142637,-1199,-35.202584
D - ELETROS,DD - LAVADORAS E SECADORES,25598971.154247,12462.000000,4037,27,REDE_COMPLETA,2054.162346,6341.087727,5.305313,0.268469,8373.000000,4089.000000,17062993.267752,8535977.886495,2966,1071,-8527015.381257,-49.973737,-4284.000000,-51.164457,-1895,-63.890762
D - ELETROS,DC - ELETRODOMESTICOS PARA COZINHA,15879781.442395,14234.000000,8814,50,REDE_COMPLETA,1115.623257,1801.654350,3.291039,0.306643,10799.000000,3435.000000,12223416.235645,3656365.206750,6373,2441,-8567051.028895,-70.087207,-7364.000000,-68.191499,-3932,-61.697788
I - ILUMINACAO,IB - RESIDENCIAL,13389149.430750,124144.000000,47907,134,REDE_COMPLETA,107.851764,279.482110,2.774863,2.674432,88822.000000,35322.000000,9568321.826250,3820827.604500,33703,14204,-5747494.221750,-60.067944,-53500.000000,-60.232825,-19499,-57.855384
"K - CAMA, MESA E BANHO",KC - BANHO,11721404.833806,250499.000000,121475,215,REDE_COMPLETA,46.792222,96.492322,2.429227,5.396495,178316.000000,72183.000000,8281902.730448,3439502.103358,82567,38908,-4842400.627089,-58.469663,-106133.000000,-59.519617,-43659,-52.877057
"K - CAMA, MESA E BANHO",KA - CAMA,10880317.267031,147642.000000,51469,123,REDE_COMPLETA,73.693917,211.395544,2.254914,3.180648,124777.000000,22865.000000,8533710.815156,2346606.451875,37779,13690,-6187104.363281,-72.501922,-101912.000000,-81.675309,-24089,-63.762937
S - TINTAS E QUIMICOS,SB - MASSAS E TEXTURAS,9961646.793793,146047.000000,5757,6,REDE_COMPLETA,68.208500,1730.353794,2.064523,3.146287,75284.000000,70763.000000,5025965.889286,4935680.904507,3013,2744,-90284.984779,-1.796371,-4521.000000,-6.005260,-269,-8.927979
O - MOVEIS,OA - SALA DE ESTAR E JANTAR,9888912.104750,24170.000000,13144,66,REDE_COMPLETA,409.139930,752.351803,2.049449,0.520694,18737.000000,5433.000000,7464257.419500,2424654.685250,9462,3682,-5039602.734250,-67.516465,-13304.000000,-71.003896,-5780,-61.086451
S - TINTAS E QUIMICOS,SA - TINTAS,7359856.495425,47219.000000,26129,43,REDE_COMPLETA,155.866420,281.673868,1.525309,1.017238,34051.000000,13168.000000,5306507.908100,2053348.587325,18593,7536,-3253159.320775,-61.305088,-20883.000000,-61.328595,-11057,-59.468617
U - METAIS E ACESSORIOS,UC - ACESSORIOS PARA BANHEIRO,7191060.723880,171022.000000,54058,74,REDE_COMPLETA,42.047577,133.024913,1.490327,3.684323,124092.000000,46930.000000,4475652.452388,2715408.271492,32902,21156,-1760244.180895,-39.329331,-77162.000000,-62.181285,-11746,-35.699957
U - METAIS E ACESSORIOS,UA - DUCHAS E CHUVEIROS,7104438.588284,49775.000000,19042,34,REDE_COMPLETA,142.731062,373.093088,1.472374,1.072302,44594.000000,5181.000000,6145828.519784,958610.068500,16450,2592,-5187218.451284,-84.402265,-39413.000000,-88.381845,-13858,-84.243161
B - UTILIDADES DOMESTICAS,BA - COZINHAR,6684006.389472,49573.000000,25550,57,REDE_COMPLETA,134.831590,261.604947,1.385241,1.067950,28728.000000,20845.000000,3525149.630756,3158856.758716,16198,9352,-366292.872040,-10.390846,-7883.000000,-27.440128,-6846,-42.264477
O - MOVEIS,OC - QUARTO,6546440.420933,29469.000000,17687,55,REDE_COMPLETA,222.146677,370.127236,1.356731,0.634850,18808.000000,10661.000000,5014686.434933,1531753.986000,10939,6748,-3482932.448933,-69.454641,-8147.000000,-43.316674,-4191,-38.312460
I - ILUMINACAO,IA - LAMPADAS,6312179.198802,288403.000000,51104,34,REDE_COMPLETA,21.886663,123.516343,1.308181,6.213060,154082.000000,134321.000000,3292368.416344,3019810.782458,26508,24596,-272557.633887,-8.278467,-19761.000000,-12.824989,-1912,-7.212917
