NIVEL_1,NIVEL_2,NIVEL_3,RECEITA,QTD_ARMAZENAGEM,TRANSACOES,SKUS_ATIVOS,UNIVERSO,PRECO_MEDIO_ARMAZENAGEM,TICKET_MEDIO_TRANSACAO,PARTICIPACAO_RECEITA_PCT,PARTICIPACAO_QTD_PCT,QTD_ARMAZENAGEM_2024,QTD_ARMAZENAGEM_2025,RECEITA_2024,RECEITA_2025,TRANSACOES_2024,TRANSACOES_2025,DELTA_RECEITA_2025_VS_2024,VAR_RECEITA_2025_VS_2024_PCT,DELTA_QTD_ARMAZENAGEM_2025_VS_2024,VAR_QTD_ARMAZENAGEM_2025_VS_2024_PCT,DELTA_TRANSACOES_2025_VS_2024,VAR_TRANSACOES_2025_VS_2024_PCT
D - ELETROS,DA - AR E VENTILACAO,DAQ - AR CONDICIONADO SPLIT INVERTER,79798581.693969,59383.000000,12382,65,REDE_COMPLETA,1343.795054,6444.724737,16.538026,1.279287,47320.000000,12063.000000,63276211.473409,16522370.220560,9349,3033,-46753841.252849,-73.888496,-35257.000000,-74.507608,-6316,-67.558028
R - ELETRONICOS,RA - IMAGEM,RAA - TVS,47348811.333185,19069.000000,7355,23,REDE_COMPLETA,2483.025399,6437.635803,9.812905,0.410803,10429.000000,8640.000000,24914282.590276,22434528.742909,3286,4069,-2479753.847367,-9.953142,-1789.000000,-17.154090,783,23.828363
C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAB - PORCELANATOS,34882065.550500,377882.910000,18370,171,REDE_COMPLETA,92.309191,1898.860400,7.229208,8.140724,242627.450000,135255.460000,22580791.395540,12301274.154960,11409,6961,-10279517.240580,-45.523282,-107371.990000,-44.253851,-4448,-38.986765
D - ELETROS,DB - REFRIGERACAO,DBA - REFRIGERADORES,28457302.970552,9281.000000,4062,25,REDE_COMPLETA,3066.189308,7005.736822,5.897694,0.199940,5160.000000,4121.000000,15893456.801063,12563846.169489,2397,1665,-3329610.631573,-20.949569,-1039.000000,-20.135659,-732,-30.538173
D - ELETROS,DD - LAVADORAS E SECADORES,DDA - LAVADORAS DE ROUPAS,25598971.154247,12462.000000,4037,27,REDE_COMPLETA,2054.162346,6341.087727,5.305313,0.268469,8373.000000,4089.000000,17062993.267752,8535977.886495,2966,1071,-8527015.381257,-49.973737,-4284.000000,-51.164457,-1895,-63.890762
D - ELETROS,DA - AR E VENTILACAO,DAP - AR CONDICIONADO SPLIT ON/OFF,13737850.048292,7675.000000,2200,22,REDE_COMPLETA,1789.947889,6244.477295,2.847130,0.165342,6555.000000,1120.000000,10822862.353861,2914987.694431,1563,637,-7907874.659430,-73.066389,-5435.000000,-82.913806,-926,-59.245042
D - ELETROS,DC - ELETRODOMESTICOS PARA COZINHA,DCA - FOGOES,10492682.140895,8391.000000,4415,16,REDE_COMPLETA,1250.468614,2376.598446,2.174578,0.180767,6947.000000,1444.000000,8647880.233145,1844801.907750,3584,831,-6803078.325395,-78.667583,-5503.000000,-79.214049,-2753,-76.813616
S - TINTAS E QUIMICOS,SB - MASSAS E TEXTURAS,"SBA - MASSAS ACRILICAS, CORRIDA E PARA MADEIRA",9903877.893793,145797.000000,5596,1,REDE_COMPLETA,67.929230,1769.813777,2.052550,3.140902,75141.000000,70656.000000,4993080.099286,4910797.794507,2916,2680,-82282.304779,-1.647927,-4485.000000,-5.968779,-236,-8.093278
C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAC - REVESTIMENTOS,9887217.744750,151160.910000,14240,91,REDE_COMPLETA,65.408562,694.327089,2.049097,3.256456,101393.400000,49767.510000,6581076.886800,3306140.857950,9393,4847,-3274936.028850,-49.762920,-51625.890000,-50.916421,-4546,-48.397743
D - ELETROS,DA - AR E VENTILACAO,DAA - AR CONDICIONADO DE JANELA,9202115.403250,4254.000000,1821,3,REDE_COMPLETA,2163.167702,5053.330809,1.907112,0.091644,2747.000000,1507.000000,6117608.155750,3084507.247500,1171,650,-3033100.908250,-49.579849,-1240.000000,-45.140153,-521,-44.491887
