COD_EMPRESA,CD_CIDADE,CD_ESTADO,TIPO_OPERACAO,ANO_MES,ANO,MES,LINHAS,SKUS_DISTINTOS,RECEITA
1,GARANHUNS,PE,REDE_FISICA,2024-01,2024,1,3121,800,888810.521220
1,GARANHUNS,PE,REDE_FISICA,2024-02,2024,2,2584,720,889770.788897
1,GARANHUNS,PE,REDE_FISICA,2024-03,2024,3,2975,783,824354.949110
1,GARANHUNS,PE,REDE_FISICA,2024-04,2024,4,3214,852,887916.557938
1,GARANHUNS,PE,REDE_FISICA,2024-05,2024,5,3757,938,1160491.083499
1,GARANHUNS,PE,REDE_FISICA,2024-06,2024,6,3410,908,992640.453455
1,GARANHUNS,PE,REDE_FISICA,2024-07,2024,7,4111,1030,1095435.535400
1,GARANHUNS,PE,REDE_FISICA,2024-08,2024,8,3486,970,1040889.688930
1,GARANHUNS,PE,REDE_FISICA,2024-09,2024,9,2894,893,718257.693720
1,GARANHUNS,PE,REDE_FISICA,2024-10,2024,10,3371,994,1005522.314265
1,GARANHUNS,PE,REDE_FISICA,2024-11,2024,11,3974,992,1236347.800065
1,GARANHUNS,PE,REDE_FISICA,2024-12,2024,12,3428,931,952143.383205
1,GARANHUNS,PE,REDE_FISICA,2025-01,2025,1,2780,812,734519.106955
1,GARANHUNS,PE,REDE_FISICA,2025-02,2025,2,2301,749,787264.631370
1,GARANHUNS,PE,REDE_FISICA,2025-03,2025,3,2066,694,730609.782770
1,GARANHUNS,PE,REDE_FISICA,2025-04,2025,4,2102,680,804336.435840
1,GARANHUNS,PE,REDE_FISICA,2025-05,2025,5,2219,675,966070.648900
1,GARANHUNS,PE,REDE_FISICA,2025-06,2025,6,1637,579,578891.156903
1,GARANHUNS,PE,REDE_FISICA,2025-07,2025,7,1728,562,559536.981150
1,GARANHUNS,PE,REDE_FISICA,2025-08,2025,8,1338,469,375840.472790
1,GARANHUNS,PE,REDE_FISICA,2025-09,2025,9,1211,407,324592.516500
1,GARANHUNS,PE,REDE_FISICA,2025-10,2025,10,1119,366,324848.481300
1,GARANHUNS,PE,REDE_FISICA,2025-11,2025,11,992,345,320093.346020
1,GARANHUNS,PE,REDE_FISICA,2025-12,2025,12,720,290,181029.106880
2,RECIFE,PE,REDE_FISICA,2024-01,2024,1,8824,1361,2898910.269467
2,RECIFE,PE,REDE_FISICA,2024-02,2024,2,7788,1334,2538134.924723
2,RECIFE,PE,REDE_FISICA,2024-03,2024,3,8851,1390,2555972.543721
2,RECIFE,PE,REDE_FISICA,2024-04,2024,4,9124,1517,2803905.868504
2,RECIFE,PE,REDE_FISICA,2024-05,2024,5,9594,1576,2949179.348277
2,RECIFE,PE,REDE_FISICA,2024-06,2024,6,9185,1564,2744820.241200
2,RECIFE,PE,REDE_FISICA,2024-07,2024,7,10209,1596,2735725.043599
2,RECIFE,PE,REDE_FISICA,2024-08,2024,8,9921,1575,2541923.254878
2,RECIFE,PE,REDE_FISICA,2024-09,2024,9,9024,1533,2379152.936130
2,RECIFE,PE,REDE_FISICA,2024-10,2024,10,9811,1505,2915956.600956
2,RECIFE,PE,REDE_FISICA,2024-11,2024,11,10715,1560,4370868.310843
2,RECIFE,PE,REDE_FISICA,2024-12,2024,12,9774,1466,3310300.325042
2,RECIFE,PE,REDE_FISICA,2025-01,2025,1,7893,1293,2677509.423542
2,RECIFE,PE,REDE_FISICA,2025-02,2025,2,6589,1195,1963747.017201
2,RECIFE,PE,REDE_FISICA,2025-03,2025,3,6133,1159,1891823.410270
2,RECIFE,PE,REDE_FISICA,2025-04,2025,4,5744,1139,2261380.216417
2,RECIFE,PE,REDE_FISICA,2025-05,2025,5,5316,1020,2151417.161525
2,RECIFE,PE,REDE_FISICA,2025-06,2025,6,4356,871,1451689.591645
2,RECIFE,PE,REDE_FISICA,2025-07,2025,7,4528,844,1525089.326822
2,RECIFE,PE,REDE_FISICA,2025-08,2025,8,3778,740,1200874.631231
2,RECIFE,PE,REDE_FISICA,2025-09,2025,9,3182,663,1050571.721601
2,RECIFE,PE,REDE_FISICA,2025-10,2025,10,3183,645,1054029.455844
2,RECIFE,PE,REDE_FISICA,2025-11,2025,11,2775,594,850864.077132
2,RECIFE,PE,REDE_FISICA,2025-12,2025,12,1925,469,553245.935836
3,SALVADOR,BA,REDE_FISICA,2024-01,2024,1,9204,1269,3951068.327922
3,SALVADOR,BA,REDE_FISICA,2024-02,2024,2,8637,1301,3281058.254363
3,SALVADOR,BA,REDE_FISICA,2024-03,2024,3,9049,1344,3777554.666174
3,SALVADOR,BA,REDE_FISICA,2024-04,2024,4,9221,1368,3281012.807119
3,SALVADOR,BA,REDE_FISICA,2024-05,2024,5,9450,1467,3693302.776110
3,SALVADOR,BA,REDE_FISICA,2024-06,2024,6,9119,1450,3480444.672940
3,SALVADOR,BA,REDE_FISICA,2024-07,2024,7,10017,1509,3255275.815458
3,SALVADOR,BA,REDE_FISICA,2024-08,2024,8,9313,1546,3240706.148118
3,SALVADOR,BA,REDE_FISICA,2024-09,2024,9,8494,1473,3475767.773020
3,SALVADOR,BA,REDE_FISICA,2024-10,2024,10,9060,1464,4021838.602355
3,SALVADOR,BA,REDE_FISICA,2024-11,2024,11,9940,1481,3759042.486161
3,SALVADOR,BA,REDE_FISICA,2024-12,2024,12,9121,1391,2897371.469295
3,SALVADOR,BA,REDE_FISICA,2025-01,2025,1,7390,1228,2173079.363583
3,SALVADOR,BA,REDE_FISICA,2025-02,2025,2,6595,1143,2079893.432701
3,SALVADOR,BA,REDE_FISICA,2025-03,2025,3,5903,1083,1990445.555294
3,SALVADOR,BA,REDE_FISICA,2025-04,2025,4,5468,999,1981876.306074
3,SALVADOR,BA,REDE_FISICA,2025-05,2025,5,5390,994,2106488.164862
3,SALVADOR,BA,REDE_FISICA,2025-06,2025,6,4234,834,1419235.490970
3,SALVADOR,BA,REDE_FISICA,2025-07,2025,7,4417,806,1596692.890598
3,SALVADOR,BA,REDE_FISICA,2025-08,2025,8,3378,685,1442069.120033
