ANO_MES,ANO,MES,LOJAS_ATIVAS,SKUS_DISTINTOS,LINHAS,RECEITA,RECEITA_MEDIA_LINHA
2024-01,2024,1,10,1999,53047,26376144.383400,497.222169
2024-02,2024,2,10,2007,47716,20436770.925061,428.300170
2024-03,2024,3,11,2070,55029,26521580.987902,481.956441
2024-04,2024,4,11,2204,60901,26361001.342232,432.850057
2024-05,2024,5,11,2297,64396,27920751.477837,433.578972
2024-06,2024,6,11,2321,61515,23458624.225744,381.348033
2024-07,2024,7,11,2399,67700,24391815.453379,360.292695
2024-08,2024,8,11,2426,63833,24180911.190690,378.815208
2024-09,2024,9,11,2421,57197,24005812.925481,419.704057
2024-10,2024,10,11,2454,62687,32360836.747500,516.228831
2024-11,2024,11,11,2490,71525,47209722.925026,660.045060
2024-12,2024,12,11,2404,64666,27634978.905802,427.349440
2025-01,2025,1,11,2363,51851,20916014.084014,403.386899
2025-02,2025,2,11,2278,44032,17731493.015553,402.695608
2025-03,2025,3,11,2245,40545,17169905.232769,423.477747
2025-04,2025,4,11,2191,37438,15787817.576294,421.705689
2025-05,2025,5,11,2130,35982,16490443.183148,458.297015
2025-06,2025,6,11,1956,28656,10934170.326317,381.566525
2025-07,2025,7,11,1893,29142,13182203.861862,452.343829
2025-08,2025,8,11,1759,23855,10912405.912485,457.447324
2025-09,2025,9,11,1558,19640,7763795.171031,395.305253
2025-10,2025,10,11,1536,19457,8191149.503574,420.987280
2025-11,2025,11,11,1421,17322,8677567.858919,500.956463
2025-12,2025,12,11,1212,12258,3899830.899821,318.145774
