ANO_MES,ANO,MES,RECEITA,QTD_ARMAZENAGEM,TRANSACOES,SKUS_ATIVOS,LOJAS_ATIVAS,UNIVERSO,PRECO_MEDIO_ARMAZENAGEM,TICKET_MEDIO_TRANSACAO,RECEITA_MOM_DELTA,RECEITA_MOM_VAR_PCT,RECEITA_YOY_DELTA,RECEITA_YOY_VAR_PCT,RECEITA_ACUM_ANO,QTD_ARMAZENAGEM_MOM_DELTA,QTD_ARMAZENAGEM_MOM_VAR_PCT,QTD_ARMAZENAGEM_YOY_DELTA,QTD_ARMAZENAGEM_YOY_VAR_PCT,QTD_ARMAZENAGEM_ACUM_ANO,TRANSACOES_MOM_DELTA,TRANSACOES_MOM_VAR_PCT,TRANSACOES_YOY_DELTA,TRANSACOES_YOY_VAR_PCT,TRANSACOES_ACUM_ANO
2024-01,2024,1,26376144.383400,238814.710000,53047,1999,10,REDE_COMPLETA,110.446062,497.222169,,,,,26376144.383400,,,,,238814.710000,,,,,53047
2024-02,2024,2,20436770.925061,208695.200000,47716,2007,10,REDE_COMPLETA,97.926406,428.300170,-5939373.458340,-22.517974,,,46812915.308461,-30119.510000,-12.612083,,,447509.910000,-5331.000000,-10.049579,,,100763
2024-03,2024,3,26521580.987902,234421.080000,55029,2070,11,REDE_COMPLETA,113.136502,481.956441,6084810.062841,29.773833,,,73334496.296363,25725.880000,12.327011,,,681930.990000,7313.000000,15.326096,,,155792
2024-04,2024,4,26361001.342232,261665.580000,60901,2204,11,REDE_COMPLETA,100.743099,432.850057,-160579.645670,-0.605468,,,99695497.638595,27244.500000,11.622035,,,943596.570000,5872.000000,10.670737,,,216693
2024-05,2024,5,27920751.477837,273912.200000,64396,2297,11,REDE_COMPLETA,101.933216,433.578972,1559750.135605,5.916885,,,127616249.116432,12246.620000,4.680256,,,1217508.770000,3495.000000,5.738822,,,281089
2024-06,2024,6,23458624.225744,253967.320000,61515,2321,11,REDE_COMPLETA,92.368673,381.348033,-4462127.252093,-15.981401,,,151074873.342176,-19944.880000,-7.281487,,,1471476.090000,-2881.000000,-4.473880,,,342604
2024-07,2024,7,24391815.453379,251540.790000,67700,2399,11,REDE_COMPLETA,96.969623,360.292695,933191.227635,3.978031,,,175466688.795556,-2426.530000,-0.955450,,,1723016.880000,6185.000000,10.054458,,,410304
2024-08,2024,8,24180911.190690,250530.780000,63833,2426,11,REDE_COMPLETA,96.518724,378.815208,-210904.262689,-0.864652,,,199647599.986246,-1010.010000,-0.401529,,,1973547.660000,-3867.000000,-5.711965,,,474137
2024-09,2024,9,24005812.925481,207377.500000,57197,2421,11,REDE_COMPLETA,115.759004,419.704057,-175098.265209,-0.724118,,,223653412.911727,-43153.280000,-17.224742,,,2180925.160000,-6636.000000,-10.395877,,,531334
2024-10,2024,10,32360836.747500,296140.050000,62687,2454,11,REDE_COMPLETA,109.275448,516.228831,8355023.822019,34.804170,,,256014249.659228,88762.550000,42.802401,,,2477065.210000,5490.000000,9.598406,,,594021
2024-11,2024,11,47209722.925026,338043.810000,71525,2490,11,REDE_COMPLETA,139.655635,660.045060,14848886.177526,45.885359,,,303223972.584254,41903.760000,14.149981,,,2815109.020000,8838.000000,14.098617,,,665546
2024-12,2024,12,27634978.905802,251891.820000,64666,2404,11,REDE_COMPLETA,109.709712,427.349440,-19574744.019224,-41.463374,,,330858951.490056,-86151.990000,-25.485451,,,3067000.840000,-6859.000000,-9.589654,,,730212
2025-01,2025,1,20916014.084014,208191.720000,51851,2363,11,REDE_COMPLETA,100.465158,403.386899,-6718964.821788,-24.313262,-5460130.299386,-20.701018,20916014.084014,-43700.100000,-17.348757,-30622.990000,-12.822908,208191.720000,-12815.000000,-19.817215,-1196.000000,-2.254604,51851
