UNIVERSO,NIVEL_1,PARES_LOJA_PRODUTO,SKUS_DISTINTOS,LOJAS_DISTINTAS,RECEITA_HISTORICA_TOTAL,RECEITA_RUPTURA_CRITICO,RECEITA_EM_RUPTURA,RECEITA_CRITICO,PARES_RUPTURA_CRITICO,PARES_COM_RECEITA_HISTORICA,PARES_SEM_RECEITA_HISTORICA,PARES_DIAS_COBERTURA_FINITO,PARES_DIAS_COBERTURA_INFINITO,DIAS_COBERTURA_MEDIA_FINITA,DIAS_COBERTURA_MEDIANA_FINITA,DIAS_COBERTURA_P25_FINITA,DIAS_COBERTURA_P75_FINITA,ESTOQUE_PROJ_TOTAL,ESTOQUE_PROJ_MEDIANA,VENDA_MEDIA_MES_TOTAL,PARES_EM_RUPTURA,PARES_CRITICO,PARES_ATENCAO,PARES_SAUDAVEL,PARES_STATUS_SEM_VENDA,PCT_PARES_RUPTURA_CRITICO,PCT_PARES_EM_RUPTURA,PCT_PARES_CRITICO,PCT_PARES_DIAS_INFINITO,PCT_PARES_SEM_RECEITA_HISTORICA,PART_RECEITA_RISCO_PCT,PART_RECEITA_UNIVERSO_PCT,PART_RECEITA_RISCO_UNIVERSO_PCT,RECEITA_ETAPA3,TRANSACOES_ETAPA3_LINHAS_VENDA,SKUS_ATIVOS_ETAPA3,PART_RECEITA_ETAPA3_PCT,VAR_RECEITA_2025_VS_2024_ETAPA3_PCT,DIF_RECEITA_VS_ETAPA3,RANK_REPOSICAO
REDE_COMPLETA,D - ELETROS,3051,286,11,197570549.210439,190693004.832356,188925476.957038,1767527.875318,2869,2028,1023,2936,115,56.203569,0.000000,0.000000,0.000000,-139950.000000,-2.000000,11588.466173,2839,30,21,46,115,94.034743,93.051459,0.983284,3.769256,33.529990,96.518943,40.945928,39.520576,197570549.210439,60693,286,40.945928,-63.817246,0.000000,1
REDE_COMPLETA,C - PISOS E REVESTIMENTOS,3331,325,11,54643661.465974,53548526.528091,53086205.010111,462321.517980,3214,2179,1152,3301,30,11.633771,0.000000,0.000000,0.000000,-670089.830000,-35.200000,91419.944757,3158,56,24,63,30,96.487541,94.806364,1.681177,0.900630,34.584209,97.995861,11.324742,11.097778,54643661.465974,43921,325,11.324742,-52.436427,0.000000,2
REDE_COMPLETA,R - ELETRONICOS,281,28,11,47868778.312185,47541209.612685,47497721.773185,43487.839500,272,254,27,274,7,0.521898,0.000000,0.000000,0.000000,-17460.000000,-4.000000,1125.464184,271,1,2,0,7,96.797153,96.441281,0.355872,2.491103,9.608541,99.315694,9.920667,9.852779,47868778.312185,7874,28,9.920667,-10.156711,0.000000,3
REDE_COMPLETA,I - ILUMINACAO,2263,213,11,25323418.840395,22809488.758869,22494519.896619,314968.862250,1991,1741,522,2139,124,33.511523,0.000000,0.000000,0.000000,-298486.000000,-14.000000,33369.629610,1955,36,39,109,124,87.980557,86.389748,1.590809,5.479452,23.066726,90.072707,5.248206,4.727201,25323418.840395,121468,213,5.248206,-44.442350,-0.000000,4
REDE_COMPLETA,"K - CAMA, MESA E BANHO",3623,358,11,23212282.177587,21745786.920572,21542263.593572,203523.327000,3483,3122,501,3609,14,7.919270,0.000000,0.000000,0.000000,-274916.000000,-35.000000,37187.577988,3427,56,38,88,14,96.135799,94.590119,1.545680,0.386420,13.828319,93.682244,4.810679,4.506752,23212282.177587,185127,358,4.810679,-66.085774,0.000000,5
REDE_COMPLETA,O - MOVEIS,2035,193,11,22722892.600933,21224576.200933,20905370.614933,319205.586000,1853,1632,403,1982,53,23.396547,0.000000,0.000000,0.000000,-34915.000000,-3.000000,5075.001500,1795,58,48,81,53,91.056511,88.206388,2.850123,2.604423,19.803440,93.406137,4.709254,4.398732,22722892.600933,41752,193,4.709254,-67.407993,0.000000,6
REDE_COMPLETA,B - UTILIDADES DOMESTICAS,5545,529,11,22513813.983700,20451443.800516,19944610.264016,506833.536500,5032,4112,1433,5486,59,30.934322,0.000000,0.000000,0.000000,-351681.000000,-17.000000,58910.885314,4862,170,92,362,59,90.748422,87.682597,3.065825,1.064022,25.843102,90.839534,4.665923,4.238503,22513813.983700,239045,529,4.665923,-55.318031,-0.000000,7
REDE_COMPLETA,U - METAIS E ACESSORIOS,1555,144,11,20361396.718842,19633103.149058,19243354.036312,389749.112746,1475,1141,414,1530,25,8.730911,0.000000,0.000000,0.000000,-186121.000000,-17.000000,18839.857514,1450,25,24,31,25,94.855305,93.247588,1.607717,1.607717,26.623794,96.423165,4.219841,4.068904,20361396.718842,92116,142,4.219841,-54.279317,-0.000000,8
REDE_COMPLETA,S - TINTAS E QUIMICOS,711,65,11,18899431.247968,18818303.680468,18736332.658468,81971.022000,699,557,154,709,2,4.556525,0.000000,0.000000,0.000000,-179317.000000,-17.000000,11303.947705,685,14,7,3,2,98.312236,96.343179,1.969058,0.281294,21.659634,99.570741,3.916853,3.900039,18899431.247968,43300,65,3.916853,-34.483413,0.000000,9
REDE_COMPLETA,E - MATERIAIS ELETRICOS,1213,111,11,11332398.322962,11270683.522962,11258162.797962,12520.725000,1071,904,309,1123,90,15.726380,0.000000,0.000000,0.000000,-772952.000000,-45.000000,53205.522891,1057,14,12,40,90,88.293487,87.139324,1.154163,7.419621,25.474031,99.455413,2.348607,2.335817,11332398.322962,123882,111,2.348607,-16.931508,-0.000000,10
REDE_COMPLETA,V - DECORACAO,1290,127,11,7907238.679841,7787998.590341,7751986.855841,36011.734500,1231,1079,211,1279,11,13.871928,0.000000,0.000000,0.000000,-80428.000000,-23.000000,8615.259487,1216,15,9,39,11,95.426357,94.263566,1.162791,0.852713,16.356589,98.492014,1.638752,1.614040,7907238.679841,45357,127,1.638752,-56.752232,0.000000,11
REDE_COMPLETA,F - FERRAMENTAS,228,21,11,7107013.035250,7003498.102750,6962618.137750,40879.965000,215,147,81,225,3,13.722586,0.000000,0.000000,0.000000,-11629.000000,-4.000000,1038.108143,209,6,2,8,3,94.298246,91.666667,2.631579,1.315789,35.526316,98.543482,1.472908,1.451455,7107013.035250,9579,21,1.472908,-27.682844,0.000000,12
REDE_COMPLETA,N - INDUSTRIAL E NEGOCIOS,773,72,11,5522517.854000,5285282.471000,5258530.151000,26752.320000,712,545,228,730,43,4.296691,0.000000,0.000000,0.000000,-8362.000000,-1.000000,1500.087224,705,7,10,8,43,92.108668,91.203105,0.905563,5.562743,29.495472,95.704217,1.144526,1.095360,5522517.854000,8425,72,1.144526,-27.347032,0.000000,13
REDE_COMPLETA,"G - PORTAS, JANELAS E FECHADURAS",423,39,11,5242924.637250,5070061.362750,5045334.702750,24726.660000,376,289,134,407,16,14.288371,0.000000,0.000000,0.000000,-19352.000000,-2.000000,2292.176954,364,12,11,20,16,88.888889,86.052009,2.836879,3.782506,31.678487,96.702923,1.086581,1.050756,5242924.637250,13480,39,1.086581,-57.599595,0.000000,14
REDE_COMPLETA,W - LOUCAS E PIAS,990,90,11,4733143.460500,4595682.920500,4563631.670500,32051.250000,917,698,292,952,38,4.346239,0.000000,0.000000,0.000000,-9394.000000,-1.000000,1416.836404,889,28,23,12,38,92.626263,89.797980,2.828283,3.838384,29.494949,97.095788,0.980930,0.952442,4733143.460500,9565,90,0.980930,-68.937700,0.000000,15
REDE_COMPLETA,M - MAQUINAS E MOTORES,231,21,11,3623899.009500,3354058.050000,3279007.410000,75050.640000,211,151,80,224,7,9.081098,0.000000,0.000000,0.000000,-1180.000000,0.000000,334.356319,198,13,9,4,7,91.341991,85.714286,5.627706,3.030303,34.632035,92.553850,0.751043,0.695119,3623899.009500,2263,21,0.751043,-75.776552,0.000000,16
REDE_COMPLETA,A - AUTOMOTIVO,207,19,11,1337411.032250,1329937.447250,1326851.707250,3085.740000,196,136,71,201,6,2.937359,0.000000,0.000000,0.000000,-21897.000000,-1.000000,1548.947261,191,5,3,2,6,94.685990,92.270531,2.415459,2.898551,34.299517,99.441190,0.277175,0.275626,1337411.032250,8099,19,0.277175,-44.945319,0.000000,17
REDE_COMPLETA,Q - BASICOS CONSTRUCAO,242,22,11,758460.571750,750343.662250,742721.397250,7622.265000,234,190,52,240,2,3.966276,0.000000,0.000000,0.000000,-41415.000000,-71.500000,3108.800764,229,5,1,5,2,96.694215,94.628099,2.066116,0.826446,21.487603,98.929818,0.157189,0.155507,758460.571750,12157,22,0.157189,-5.139887,0.000000,18
REDE_COMPLETA,"L - INFANTIL, LAZER E PETS",284,27,11,827989.295000,740821.413500,731613.543500,9207.870000,245,235,49,283,1,49.770750,0.000000,0.000000,0.000000,-8051.000000,-6.000000,1240.320837,240,5,11,27,1,86.267606,84.507042,1.760563,0.352113,17.253521,89.472342,0.171598,0.153533,827989.295000,7652,27,0.171598,-58.325395,0.000000,19
REDE_COMPLETA,H - TUBOS E CONEXOES,286,26,11,499932.132000,494444.832000,475317.927000,19126.905000,266,116,170,270,16,2.396769,0.000000,0.000000,0.000000,-16008.000000,0.000000,1145.533110,255,11,1,3,16,93.006993,89.160839,3.846154,5.594406,59.440559,98.902391,0.103609,0.102472,499932.132000,7981,26,0.103609,-53.907152,0.000000,20
REDE_COMPLETA,T - ARTIGOS DE EPOCA,60,6,11,221035.116017,219751.806017,219751.806017,0.000000,59,50,10,60,0,8.192308,0.000000,0.000000,0.000000,-11484.000000,-119.000000,3550.421459,59,0,0,1,0,98.333333,98.333333,0.000000,0.000000,16.666667,99.419409,0.045809,0.045543,221035.116017,1794,6,0.045809,-85.703156,-0.000000,21
REDE_COMPLETA,J - JARDINAGEM,77,7,11,199296.713000,191902.718000,188088.803000,3813.915000,73,63,14,77,0,7.176600,0.000000,0.000000,0.000000,-2997.000000,-9.000000,361.771764,68,5,2,2,0,94.805195,88.311688,6.493506,0.000000,18.181818,96.289956,0.041304,0.039771,199296.713000,3043,7,0.041304,-71.459219,0.000000,22
REDE_COMPLETA,Y - EPI,22,2,11,86263.698500,82028.093000,80091.599000,1936.494000,19,18,4,22,0,19.683007,0.000000,0.000000,0.000000,-4711.000000,-12.000000,345.111609,18,1,2,1,0,86.363636,81.818182,4.545455,0.000000,18.181818,95.089933,0.017878,0.017000,86263.698500,1817,2,0.017878,-62.970151,0.000000,23
REDE_FISICA_SEM_LOJA93,D - ELETROS,2779,286,10,81442197.072905,78795313.783956,77027785.908638,1767527.875318,2639,1879,900,2706,73,60.980664,0.000000,0.000000,0.000000,-83157.000000,-2.000000,11588.466173,2609,30,21,46,73,94.962217,93.882692,1.079525,2.626844,32.385750,96.749985,24.736816,23.932866,81442197.072905,45846,286,24.736816,-56.320170,0.000000,1
REDE_FISICA_SEM_LOJA93,C - PISOS E REVESTIMENTOS,3064,325,10,54643661.465974,53548526.528091,53086205.010111,462321.517980,2947,2179,885,3034,30,12.657574,0.000000,0.000000,0.000000,-670089.830000,-52.965000,91419.944757,2891,56,24,63,30,96.181462,94.353786,1.827676,0.979112,28.883812,97.995861,16.597173,16.264542,54643661.465974,43921,325,16.597173,-52.436427,0.000000,2
REDE_FISICA_SEM_LOJA93,I - ILUMINACAO,2079,213,10,25321216.150395,22809488.758869,22494519.896619,314968.862250,1808,1740,339,1956,123,36.646804,0.000000,0.000000,0.000000,-298511.000000,-19.000000,33369.629610,1772,36,39,109,123,86.964887,85.233285,1.731602,5.916306,16.305916,90.080542,7.690930,6.928032,25321216.150395,121463,213,7.690930,-44.443149,-0.000000,3
REDE_FISICA_SEM_LOJA93,"K - CAMA, MESA E BANHO",3399,358,10,23212282.177587,21745786.920572,21542263.593572,203523.327000,3259,3122,277,3385,14,8.443322,0.000000,0.000000,0.000000,-274916.000000,-40.000000,37187.577988,3203,56,38,88,14,95.881142,94.233598,1.647543,0.411886,8.149456,93.682244,7.050374,6.604949,23212282.177587,185127,358,7.050374,-66.085774,0.000000,4
REDE_FISICA_SEM_LOJA93,R - ELETRONICOS,254,28,10,21132001.439016,21079908.324516,21036420.485016,43487.839500,247,230,24,249,5,0.574297,0.000000,0.000000,0.000000,-8871.000000,-3.000000,1125.464184,246,1,2,0,5,97.244094,96.850394,0.393701,1.968504,9.448819,99.753487,6.418521,6.402698,21132001.439016,5198,28,6.418521,95.305861,0.000000,5
REDE_FISICA_SEM_LOJA93,B - UTILIDADES DOMESTICAS,5111,529,10,22513813.983700,20451443.800516,19944610.264016,506833.536500,4598,4112,999,5052,59,33.591783,0.000000,0.000000,0.000000,-351681.000000,-24.000000,58910.885314,4428,170,92,362,59,89.962825,86.636666,3.326159,1.154373,19.546077,90.839534,6.838225,6.211812,22513813.983700,239045,529,6.838225,-55.318031,-0.000000,6
REDE_FISICA_SEM_LOJA93,U - METAIS E ACESSORIOS,1423,144,10,20361396.718842,19633103.149058,19243354.036312,389749.112746,1343,1141,282,1398,25,9.555289,0.000000,0.000000,0.000000,-186121.000000,-23.000000,18839.857514,1318,25,24,31,25,94.378074,92.621223,1.756852,1.756852,19.817287,96.423165,6.184462,5.963254,20361396.718842,92116,142,6.184462,-54.279317,-0.000000,7
REDE_FISICA_SEM_LOJA93,S - TINTAS E QUIMICOS,648,65,10,18899431.247968,18818303.680468,18736332.658468,81971.022000,636,557,91,646,2,5.000891,0.000000,0.000000,0.000000,-179317.000000,-24.000000,11303.947705,622,14,7,3,2,98.148148,95.987654,2.160494,0.308642,14.043210,99.570741,5.740412,5.715771,18899431.247968,43300,65,5.740412,-34.483413,0.000000,8
REDE_FISICA_SEM_LOJA93,O - MOVEIS,1849,193,10,13649986.052500,12524674.802500,12205469.216500,319205.586000,1687,1522,327,1816,33,25.535218,0.000000,0.000000,0.000000,-25082.000000,-3.000000,5075.001500,1629,58,48,81,33,91.238507,88.101677,3.136831,1.784749,17.685235,91.755953,4.145974,3.804178,13649986.052500,34717,193,4.145974,-61.724111,0.000000,9
REDE_FISICA_SEM_LOJA93,E - MATERIAIS ELETRICOS,1104,111,10,11332398.322962,11270683.522962,11258162.797962,12520.725000,962,904,200,1014,90,17.416889,0.000000,0.000000,0.000000,-772952.000000,-67.000000,53205.522891,948,14,12,40,90,87.137681,85.869565,1.268116,8.152174,18.115942,99.455413,3.442042,3.423297,11332398.322962,123882,111,3.442042,-16.931508,-0.000000,10
REDE_FISICA_SEM_LOJA93,V - DECORACAO,1202,127,10,7907238.679841,7787998.590341,7751986.855841,36011.734500,1143,1079,123,1191,11,14.896890,0.000000,0.000000,0.000000,-80428.000000,-25.000000,8615.259487,1128,15,9,39,11,95.091514,93.843594,1.247920,0.915141,10.232945,98.492014,2.401702,2.365485,7907238.679841,45357,127,2.401702,-56.752232,0.000000,11
REDE_FISICA_SEM_LOJA93,F - FERRAMENTAS,208,21,10,7107013.035250,7003498.102750,6962618.137750,40879.965000,195,147,61,205,3,15.061375,0.000000,0.000000,0.000000,-11629.000000,-8.500000,1038.108143,189,6,2,8,3,93.750000,90.865385,2.884615,1.442308,29.326923,98.543482,2.158646,2.127205,7107013.035250,9579,21,2.158646,-27.682844,0.000000,12
