UNIVERSO,NIVEL_1,NIVEL_2,PARES_LOJA_PRODUTO,SKUS_DISTINTOS,LOJAS_DISTINTAS,RECEITA_HISTORICA_TOTAL,RECEITA_RUPTURA_CRITICO,RECEITA_EM_RUPTURA,RECEITA_CRITICO,PARES_RUPTURA_CRITICO,PARES_COM_RECEITA_HISTORICA,PARES_SEM_RECEITA_HISTORICA,PARES_DIAS_COBERTURA_FINITO,PARES_DIAS_COBERTURA_INFINITO,DIAS_COBERTURA_MEDIA_FINITA,DIAS_COBERTURA_MEDIANA_FINITA,DIAS_COBERTURA_P25_FINITA,DIAS_COBERTURA_P75_FINITA,ESTOQUE_PROJ_TOTAL,ESTOQUE_PROJ_MEDIANA,VENDA_MEDIA_MES_TOTAL,PARES_EM_RUPTURA,PARES_CRITICO,PARES_ATENCAO,PARES_SAUDAVEL,PARES_STATUS_SEM_VENDA,PCT_PARES_RUPTURA_CRITICO,PCT_PARES_EM_RUPTURA,PCT_PARES_CRITICO,PCT_PARES_DIAS_INFINITO,PCT_PARES_SEM_RECEITA_HISTORICA,PART_RECEITA_RISCO_PCT,PART_RECEITA_UNIVERSO_PCT,PART_RECEITA_RISCO_UNIVERSO_PCT,RECEITA_ETAPA3,TRANSACOES_ETAPA3_LINHAS_VENDA,SKUS_ATIVOS_ETAPA3,PART_RECEITA_ETAPA3_PCT,VAR_RECEITA_2025_VS_2024_ETAPA3_PCT,DIF_RECEITA_VS_ETAPA3,RANK_REPOSICAO
REDE_COMPLETA,D - ELETROS,DA - AR E VENTILACAO,1322,123,11,119617421.659254,116075683.053858,115263105.766040,812577.287818,1234,950,372,1261,61,108.458913,0.000000,0.000000,0.000000,-106588.000000,-4.000000,7069.903616,1226,8,9,18,61,93.343419,92.738275,0.605144,4.614221,28.139183,97.039111,24.790366,24.056351,119617421.659254,32495,123,24.790366,-72.255115,0.000000,1
REDE_COMPLETA,C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,3221,315,11,54087458.166994,53080465.189311,52629259.391331,451205.797980,3123,2119,1102,3197,24,11.255135,0.000000,0.000000,0.000000,-667069.910000,-39.600000,90385.465789,3073,50,18,56,24,96.957467,95.405154,1.552313,0.745110,34.212977,98.138214,11.209470,11.000774,54087458.166994,43299,315,11.209470,-52.210326,0.000000,2
REDE_COMPLETA,R - ELETRONICOS,RA - IMAGEM,230,23,11,47348811.333185,47023749.403685,46980261.564185,43487.839500,224,210,20,225,5,0.302222,0.000000,0.000000,0.000000,-16765.000000,-4.000000,1039.308628,223,1,1,0,5,97.391304,96.956522,0.434783,2.173913,8.695652,99.313474,9.812905,9.745537,47348811.333185,7355,23,9.812905,-9.953142,0.000000,3
REDE_COMPLETA,D - ELETROS,DB - REFRIGERACAO,499,46,11,31059804.716277,30012480.246214,29758699.026214,253781.220000,481,283,216,489,10,6.582958,0.000000,0.000000,0.000000,-7974.000000,-1.000000,674.833496,477,4,3,5,10,96.392786,95.591182,0.801603,2.004008,43.286573,96.628039,6.437055,6.220000,31059804.716277,5613,46,6.437055,-23.302337,-0.000000,4
REDE_COMPLETA,D - ELETROS,DD - LAVADORAS E SECADORES,297,27,11,25598971.154247,25194072.663747,24929012.805747,265059.858000,285,169,128,288,9,21.912447,0.000000,0.000000,0.000000,-6692.000000,0.000000,472.263487,282,3,0,3,9,95.959596,94.949495,1.010101,3.030303,43.097643,98.418302,5.305313,5.221399,25598971.154247,4037,27,5.305313,-49.973737,0.000000,5
REDE_COMPLETA,D - ELETROS,DC - ELETRODOMESTICOS PARA COZINHA,524,50,11,15879781.442395,14206975.286395,13849040.051395,357935.235000,494,402,122,508,16,16.041524,0.000000,0.000000,0.000000,-7540.000000,-3.000000,931.951693,483,11,5,9,16,94.274809,92.175573,2.099237,3.053435,23.282443,89.465811,3.291039,2.944355,15879781.442395,8814,50,3.291039,-70.087207,-0.000000,6
REDE_COMPLETA,I - ILUMINACAO,IB - RESIDENCIAL,1411,134,11,13389149.430750,12063596.010750,11812304.885000,251291.125750,1250,1107,304,1341,70,17.048451,0.000000,0.000000,0.000000,-76765.000000,-10.000000,9773.101638,1222,28,28,63,70,88.589653,86.605245,1.984408,4.961021,21.545004,90.099794,2.774863,2.500146,13389149.430750,47907,134,2.774863,-60.067944,0.000000,7
REDE_COMPLETA,"K - CAMA, MESA E BANHO",KC - BANHO,2161,215,11,11721404.833806,11541888.518331,11414048.228831,127840.289500,2116,1884,277,2159,2,3.942755,0.000000,0.000000,0.000000,-196840.000000,-48.000000,21245.341924,2085,31,12,31,2,97.917631,96.483110,1.434521,0.092550,12.818140,98.468474,2.429227,2.392023,11721404.833806,121475,215,2.429227,-58.469663,0.000000,8
REDE_COMPLETA,S - TINTAS E QUIMICOS,SB - MASSAS E TEXTURAS,66,6,11,9961646.793793,9961577.598793,9959773.383793,1804.215000,65,41,25,66,0,1.969697,0.000000,0.000000,0.000000,-120928.000000,-0.500000,6222.654433,63,2,1,0,0,98.484848,95.454545,3.030303,0.000000,37.878788,99.999305,2.064523,2.064508,9961646.793793,5757,6,2.064523,-1.796371,0.000000,9
REDE_COMPLETA,"K - CAMA, MESA E BANHO",KA - CAMA,1254,123,11,10880317.267031,9627052.880491,9569571.750491,57481.130000,1165,1061,193,1242,12,15.004625,0.000000,0.000000,0.000000,-63012.000000,-16.000000,12648.054494,1147,18,25,52,12,92.902711,91.467305,1.435407,0.956938,15.390750,88.481362,2.254914,1.995179,10880317.267031,51469,123,2.254914,-72.501922,0.000000,10
REDE_COMPLETA,O - MOVEIS,OA - SALA DE ESTAR E JANTAR,684,66,11,9888912.104750,9037245.145250,8882141.665250,155103.480000,632,619,65,663,21,16.224082,0.000000,0.000000,0.000000,-11960.000000,-3.000000,1975.323178,613,19,10,21,21,92.397661,89.619883,2.777778,3.070175,9.502924,91.387658,2.049449,1.872943,9888912.104750,13144,66,2.049449,-67.516465,0.000000,11
REDE_COMPLETA,S - TINTAS E QUIMICOS,SA - TINTAS,471,43,11,7359856.495425,7278881.282925,7201686.710925,77194.572000,462,383,88,470,1,6.405579,0.000000,0.000000,0.000000,-38446.000000,-17.000000,3440.458108,452,10,5,3,1,98.089172,95.966030,2.123142,0.212314,18.683652,98.899772,1.525309,1.508527,7359856.495425,26129,43,1.525309,-61.305088,0.000000,12
REDE_COMPLETA,U - METAIS E ACESSORIOS,UC - ACESSORIOS PARA BANHEIRO,785,74,11,7191060.723880,6975423.118074,6908214.813328,67208.304746,759,638,147,780,5,8.708894,0.000000,0.000000,0.000000,-116970.000000,-37.000000,10296.483612,748,11,8,13,5,96.687898,95.286624,1.401274,0.636943,18.726115,97.001310,1.490327,1.445636,7191060.723880,54058,74,1.490327,-39.329331,0.000000,13
REDE_COMPLETA,U - METAIS E ACESSORIOS,UA - DUCHAS E CHUVEIROS,385,35,11,7104438.588284,6748407.123457,6435443.018957,312964.104500,359,243,142,374,11,8.983751,0.000000,0.000000,0.000000,-26202.000000,-1.000000,4034.593916,350,9,8,7,11,93.246753,90.909091,2.337662,2.857143,36.883117,94.988605,1.472374,1.398588,7104438.588284,19042,34,1.472374,-84.402265,0.000000,14
REDE_COMPLETA,B - UTILIDADES DOMESTICAS,BA - COZINHAR,600,57,11,6684006.389472,6416209.732139,6324404.452139,91805.280000,568,468,132,600,0,15.699019,0.000000,0.000000,0.000000,-35870.000000,-17.000000,4182.174386,561,7,10,22,0,94.666667,93.500000,1.166667,0.000000,22.000000,95.993471,1.385241,1.329741,6684006.389472,25550,57,1.385241,-10.390846,-0.000000,15
REDE_COMPLETA,O - MOVEIS,OC - QUARTO,579,55,11,6546440.420933,6318084.184433,6290372.689433,27711.495000,536,438,141,568,11,37.757457,0.000000,0.000000,0.000000,-15330.000000,-5.000000,1747.864663,525,11,10,22,11,92.573402,90.673575,1.899827,1.899827,24.352332,96.511750,1.356731,1.309405,6546440.420933,17687,55,1.356731,-69.454641,0.000000,16
REDE_COMPLETA,F - FERRAMENTAS,"FA - GOLPE, PERFURACAO E FIXACAO ELETRICA",96,9,11,5439373.110500,5413656.405500,5412072.795500,1583.610000,92,64,32,95,1,9.804155,0.000000,0.000000,0.000000,-6873.000000,-11.000000,516.431182,91,1,1,2,1,95.833333,94.791667,1.041667,1.041667,33.333333,99.527212,1.127294,1.121965,5439373.110500,4863,9,1.127294,-4.308994,0.000000,17
REDE_COMPLETA,I - ILUMINACAO,IA - LAMPADAS,366,34,11,6312179.198802,5298360.513526,5258913.207026,39447.306500,319,276,90,347,19,69.428239,0.000000,0.000000,0.000000,-114814.000000,-63.000000,13427.178353,317,2,3,25,19,87.158470,86.612022,0.546448,5.191257,24.590164,83.938690,1.308181,1.098070,6312179.198802,51104,34,1.308181,-8.278467,0.000000,18
