UNIVERSO,NIVEL_1,NIVEL_2,NIVEL_3,PARES_LOJA_PRODUTO,SKUS_DISTINTOS,LOJAS_DISTINTAS,RECEITA_HISTORICA_TOTAL,RECEITA_RUPTURA_CRITICO,RECEITA_EM_RUPTURA,RECEITA_CRITICO,PARES_RUPTURA_CRITICO,PARES_COM_RECEITA_HISTORICA,PARES_SEM_RECEITA_HISTORICA,PARES_DIAS_COBERTURA_FINITO,PARES_DIAS_COBERTURA_INFINITO,DIAS_COBERTURA_MEDIA_FINITA,DIAS_COBERTURA_MEDIANA_FINITA,DIAS_COBERTURA_P25_FINITA,DIAS_COBERTURA_P75_FINITA,ESTOQUE_PROJ_TOTAL,ESTOQUE_PROJ_MEDIANA,VENDA_MEDIA_MES_TOTAL,PARES_EM_RUPTURA,PARES_CRITICO,PARES_ATENCAO,PARES_SAUDAVEL,PARES_STATUS_SEM_VENDA,PCT_PARES_RUPTURA_CRITICO,PCT_PARES_EM_RUPTURA,PCT_PARES_CRITICO,PCT_PARES_DIAS_INFINITO,PCT_PARES_SEM_RECEITA_HISTORICA,PART_RECEITA_RISCO_PCT,PART_RECEITA_UNIVERSO_PCT,PART_RECEITA_RISCO_UNIVERSO_PCT,RECEITA_ETAPA3,TRANSACOES_ETAPA3_LINHAS_VENDA,SKUS_ATIVOS_ETAPA3,PART_RECEITA_ETAPA3_PCT,VAR_RECEITA_2025_VS_2024_ETAPA3_PCT,DIF_RECEITA_VS_ETAPA3,RANK_REPOSICAO
REDE_COMPLETA,D - ELETROS,DA - AR E VENTILACAO,DAQ - AR CONDICIONADO SPLIT INVERTER,688,65,11,79798581.693969,79366819.251270,78558337.173452,808482.077818,656,562,126,663,25,39.896542,0.000000,0.000000,0.000000,-51220.000000,-5.000000,2245.139906,653,3,1,6,25,95.348837,94.912791,0.436047,3.633721,18.313953,99.458935,16.538026,16.448545,79798581.693969,12382,65,16.538026,-73.888496,0.000000,1
REDE_COMPLETA,R - ELETRONICOS,RA - IMAGEM,RAA - TVS,230,23,11,47348811.333185,47023749.403685,46980261.564185,43487.839500,224,210,20,225,5,0.302222,0.000000,0.000000,0.000000,-16765.000000,-4.000000,1039.308628,223,1,1,0,5,97.391304,96.956522,0.434783,2.173913,8.695652,99.313474,9.812905,9.745537,47348811.333185,7355,23,9.812905,-9.953142,0.000000,2
REDE_COMPLETA,C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAB - PORCELANATOS,1693,171,11,34882065.550500,34303636.199700,34135379.127570,168257.072130,1646,1102,591,1682,11,9.064115,0.000000,0.000000,0.000000,-328275.210000,-44.000000,47268.714998,1627,19,7,29,11,97.223863,96.101595,1.122268,0.649734,34.908447,98.341757,7.229208,7.109330,34882065.550500,18370,171,7.229208,-45.523282,0.000000,3
REDE_COMPLETA,D - ELETROS,DB - REFRIGERACAO,DBA - REFRIGERADORES,268,25,11,28457302.970552,27474815.695989,27384766.068489,90049.627500,257,161,107,259,9,9.942085,0.000000,0.000000,0.000000,-6782.000000,-1.000000,366.000505,255,2,0,2,9,95.895522,95.149254,0.746269,3.358209,39.925373,96.547504,5.897694,5.694076,28457302.970552,4062,25,5.897694,-20.949569,-0.000000,4
REDE_COMPLETA,D - ELETROS,DD - LAVADORAS E SECADORES,DDA - LAVADORAS DE ROUPAS,297,27,11,25598971.154247,25194072.663747,24929012.805747,265059.858000,285,169,128,288,9,21.912447,0.000000,0.000000,0.000000,-6692.000000,0.000000,472.263487,282,3,0,3,9,95.959596,94.949495,1.010101,3.030303,43.097643,98.418302,5.305313,5.221399,25598971.154247,4037,27,5.305313,-49.973737,0.000000,5
REDE_COMPLETA,D - ELETROS,DA - AR E VENTILACAO,DAP - AR CONDICIONADO SPLIT ON/OFF,240,22,11,13737850.048292,10751462.548345,10750919.803345,542.745000,214,145,95,221,19,11.371295,0.000000,0.000000,0.000000,-4116.000000,0.000000,418.898959,213,1,3,4,19,89.166667,88.750000,0.416667,7.916667,39.583333,78.261609,2.847130,2.228210,13737850.048292,2200,22,2.847130,-73.066389,-0.000000,6
REDE_COMPLETA,S - TINTAS E QUIMICOS,SB - MASSAS E TEXTURAS,"SBA - MASSAS ACRILICAS, CORRIDA E PARA MADEIRA",11,1,11,9903877.893793,9903877.893793,9903877.893793,0.000000,11,9,2,11,0,0.000000,0.000000,0.000000,0.000000,-120752.000000,-6571.000000,6164.749671,11,0,0,0,0,100.000000,100.000000,0.000000,0.000000,18.181818,100.000000,2.052550,2.052550,9903877.893793,5596,1,2.052550,-1.647927,0.000000,7
REDE_COMPLETA,C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAC - REVESTIMENTOS,949,91,11,9887217.744750,9623817.372200,9418687.692200,205129.680000,917,634,315,946,3,17.437597,0.000000,0.000000,0.000000,-121535.350000,-24.300000,15975.683633,892,25,10,19,3,96.628030,93.993678,2.634352,0.316122,33.192835,97.335951,2.049097,1.994508,9887217.744750,14240,91,2.049097,-49.762920,0.000000,8
REDE_COMPLETA,D - ELETROS,DC - ELETRODOMESTICOS PARA COZINHA,DCA - FOGOES,176,16,11,10492682.140895,9361464.682895,9070068.588395,291396.094500,166,166,10,171,5,26.066771,0.000000,0.000000,0.000000,-4219.000000,-5.000000,364.317507,162,4,2,3,5,94.318182,92.045455,2.272727,2.840909,5.681818,89.218987,2.174578,1.940137,10492682.140895,4415,16,2.174578,-78.667583,-0.000000,9
REDE_COMPLETA,D - ELETROS,DA - AR E VENTILACAO,DAA - AR CONDICIONADO DE JANELA,33,3,11,9202115.403250,9202115.403250,9202115.403250,0.000000,33,23,10,33,0,0.000000,0.000000,0.000000,0.000000,-4246.000000,-20.000000,312.890850,33,0,0,0,0,100.000000,100.000000,0.000000,0.000000,30.303030,100.000000,1.907112,1.907112,9202115.403250,1821,3,1.907112,-49.579849,0.000000,10
