ESCOPO_PRIORIZACAO,RANK_PRIORIDADE_ESCOPO,FAIXA_PRIORIDADE,UNIVERSO,COD_EMPRESA,CD_CIDADE,CD_ESTADO,TIPO_OPERACAO,FLAG_LOJA93,NIVEL_1,RECEITA_HISTORICA_TOTAL,RECEITA_RUPTURA_CRITICO,PART_RECEITA_RISCO_PCT,PART_RECEITA_RISCO_UNIVERSO_PCT,PARES_LOJA_PRODUTO,PARES_RUPTURA_CRITICO,PARES_EM_RUPTURA,PARES_CRITICO,PCT_PARES_RUPTURA_CRITICO,DIAS_COBERTURA_MEDIA_FINITA,DIAS_COBERTURA_MEDIANA_FINITA,PARES_DIAS_COBERTURA_INFINITO,ACAO_RECOMENDADA,EVIDENCIA_PRIORIZACAO
REDE_FISICA_SEM_LOJA93,1,ALTA,REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,REDE_FISICA,0,D - ELETROS,18650453.425428,17042826.066604,91.380224,5.176497,271,211,198,13,77.859779,490.123652,0.000000,41,Validar saldo físico/transferências e priorizar a reposição dos 211 pares em ruptura/crítico de D - ELETROS na loja 92 (CABO DE SANTO AGOSTINHO-PE).,"Receita histórica associada aos pares em ruptura/crítico: R$ 17.042.826,07; 77,9% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,2,ALTA,REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,REDE_FISICA,0,D - ELETROS,16406714.416641,15574065.569016,94.924951,4.730383,281,248,243,5,88.256228,44.405072,0.000000,12,Validar saldo físico/transferências e priorizar a reposição dos 248 pares em ruptura/crítico de D - ELETROS na loja 3 (SALVADOR-BA).,"Receita histórica associada aos pares em ruptura/crítico: R$ 15.574.065,57; 88,3% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,3,ALTA,REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,REDE_FISICA,0,C - PISOS E REVESTIMENTOS,13003275.181806,12623088.797123,97.076226,3.834069,316,298,294,4,94.303797,31.348709,0.000000,3,Validar saldo físico/transferências e priorizar a reposição dos 298 pares em ruptura/crítico de C - PISOS E REVESTIMENTOS na loja 3 (SALVADOR-BA).,"Receita histórica associada aos pares em ruptura/crítico: R$ 12.623.088,80; 94,3% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,4,ALTA,REDE_FISICA_SEM_LOJA93,2,RECIFE,PE,REDE_FISICA,0,C - PISOS E REVESTIMENTOS,10724935.964925,10708127.018925,99.843272,3.252429,318,312,308,4,98.113208,2.880550,0.000000,2,Validar saldo físico/transferências e priorizar a reposição dos 312 pares em ruptura/crítico de C - PISOS E REVESTIMENTOS na loja 2 (RECIFE-PE).,"Receita histórica associada aos pares em ruptura/crítico: R$ 10.708.127,02; 98,1% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,5,ALTA,REDE_FISICA_SEM_LOJA93,2,RECIFE,PE,REDE_FISICA,0,D - ELETROS,10624149.389218,10617341.294218,99.935919,3.224854,281,276,276,0,98.220641,1.983673,0.000000,1,Validar saldo físico/transferências e priorizar a reposição dos 276 pares em ruptura/crítico de D - ELETROS na loja 2 (RECIFE-PE).,"Receita histórica associada aos pares em ruptura/crítico: R$ 10.617.341,29; 98,2% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,6,ALTA,REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,REDE_FISICA,0,D - ELETROS,10004182.480450,10003548.385450,99.993662,3.038424,280,276,276,0,98.571429,0.216606,0.000000,3,Validar saldo físico/transferências e priorizar a reposição dos 276 pares em ruptura/crítico de D - ELETROS na loja 4 (RECIFE-PE).,"Receita histórica associada aos pares em ruptura/crítico: R$ 10.003.548,39; 98,6% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,7,ALTA,REDE_FISICA_SEM_LOJA93,6,JOAO PESSOA,PB,REDE_FISICA,0,D - ELETROS,6602520.366695,6578555.649695,99.637037,1.998135,278,267,263,4,96.043165,9.294675,0.000000,4,Validar saldo físico/transferências e priorizar a reposição dos 267 pares em ruptura/crítico de D - ELETROS na loja 6 (JOAO PESSOA-PB).,"Receita histórica associada aos pares em ruptura/crítico: R$ 6.578.555,65; 96,0% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,8,ALTA,REDE_FISICA_SEM_LOJA93,6,JOAO PESSOA,PB,REDE_FISICA,0,C - PISOS E REVESTIMENTOS,6397065.116925,6358593.116925,99.398599,1.931325,302,292,285,7,96.688742,3.015628,0.000000,3,Validar saldo físico/transferências e priorizar a reposição dos 292 pares em ruptura/crítico de C - PISOS E REVESTIMENTOS na loja 6 (JOAO PESSOA-PB).,"Receita histórica associada aos pares em ruptura/crítico: R$ 6.358.593,12; 96,7% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,9,ALTA,REDE_FISICA_SEM_LOJA93,8,CARUARU,PE,REDE_FISICA,0,C - PISOS E REVESTIMENTOS,5584761.000029,5563528.530029,99.619814,1.689836,307,300,289,11,97.719870,2.040881,0.000000,2,Validar saldo físico/transferências e priorizar a reposição dos 300 pares em ruptura/crítico de C - PISOS E REVESTIMENTOS na loja 8 (CARUARU-PE).,"Receita histórica associada aos pares em ruptura/crítico: R$ 5.563.528,53; 97,7% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,10,ALTA,REDE_FISICA_SEM_LOJA93,7,NATAL,RN,REDE_FISICA,0,D - ELETROS,5388468.088124,5385266.953124,99.940593,1.635692,277,273,272,1,98.555957,0.600000,0.000000,2,Validar saldo físico/transferências e priorizar a reposição dos 273 pares em ruptura/crítico de D - ELETROS na loja 7 (NATAL-RN).,"Receita histórica associada aos pares em ruptura/crítico: R$ 5.385.266,95; 98,6% dos pares da categoria na loja estão em ruptura/crítico."
