VALIDACAO,OBSERVADO,ESPERADO,DIFERENCA,STATUS
Linhas cobertura parquet vs CSV Etapa 2,28721.000000,28721.000000,0.000000,OK
Receita cobertura parquet vs CSV Etapa 2,482515748.115843,482515748.115843,0.000000,OK
DIAS_COBERTURA negativo inexistente,1.000000,1.000000,0.000000,OK
Receita cobertura vs vendas - rede completa,482515748.115843,482515748.115843,0.000000,OK
Receita cobertura vs vendas - rede fisica,329234755.542707,329234755.542707,0.000000,OK
categorias_n1 soma RECEITA_HISTORICA_TOTAL - REDE_COMPLETA,482515748.115843,482515748.115843,0.000000,OK
categorias_n1 soma PARES_LOJA_PRODUTO - REDE_COMPLETA,28721.000000,28721.000000,0.000000,OK
categorias_n1 status soma pares por linha - REDE_COMPLETA,1.000000,1.000000,0.000000,OK
categorias_n2 soma RECEITA_HISTORICA_TOTAL - REDE_COMPLETA,482515748.115843,482515748.115843,-0.000000,OK
categorias_n2 soma PARES_LOJA_PRODUTO - REDE_COMPLETA,28721.000000,28721.000000,0.000000,OK
categorias_n2 status soma pares por linha - REDE_COMPLETA,1.000000,1.000000,0.000000,OK
categorias_n3 soma RECEITA_HISTORICA_TOTAL - REDE_COMPLETA,482515748.115843,482515748.115843,0.000000,OK
categorias_n3 soma PARES_LOJA_PRODUTO - REDE_COMPLETA,28721.000000,28721.000000,0.000000,OK
categorias_n3 status soma pares por linha - REDE_COMPLETA,1.000000,1.000000,0.000000,OK
lojas soma RECEITA_HISTORICA_TOTAL - REDE_COMPLETA,482515748.115843,482515748.115843,-0.000000,OK
lojas soma PARES_LOJA_PRODUTO - REDE_COMPLETA,28721.000000,28721.000000,0.000000,OK
lojas status soma pares por linha - REDE_COMPLETA,1.000000,1.000000,0.000000,OK
categoria_loja soma RECEITA_HISTORICA_TOTAL - REDE_COMPLETA,482515748.115843,482515748.115843,-0.000000,OK
categoria_loja soma PARES_LOJA_PRODUTO - REDE_COMPLETA,28721.000000,28721.000000,0.000000,OK
categoria_loja status soma pares por linha - REDE_COMPLETA,1.000000,1.000000,0.000000,OK
categorias_n1 soma RECEITA_HISTORICA_TOTAL - REDE_FISICA_SEM_LOJA93,329234755.542707,329234755.542707,-0.000000,OK
categorias_n1 soma PARES_LOJA_PRODUTO - REDE_FISICA_SEM_LOJA93,26395.000000,26395.000000,0.000000,OK
categorias_n1 status soma pares por linha - REDE_FISICA_SEM_LOJA93,1.000000,1.000000,0.000000,OK
categorias_n2 soma RECEITA_HISTORICA_TOTAL - REDE_FISICA_SEM_LOJA93,329234755.542707,329234755.542707,0.000000,OK
categorias_n2 soma PARES_LOJA_PRODUTO - REDE_FISICA_SEM_LOJA93,26395.000000,26395.000000,0.000000,OK
categorias_n2 status soma pares por linha - REDE_FISICA_SEM_LOJA93,1.000000,1.000000,0.000000,OK
categorias_n3 soma RECEITA_HISTORICA_TOTAL - REDE_FISICA_SEM_LOJA93,329234755.542707,329234755.542707,0.000000,OK
categorias_n3 soma PARES_LOJA_PRODUTO - REDE_FISICA_SEM_LOJA93,26395.000000,26395.000000,0.000000,OK
categorias_n3 status soma pares por linha - REDE_FISICA_SEM_LOJA93,1.000000,1.000000,0.000000,OK
lojas soma RECEITA_HISTORICA_TOTAL - REDE_FISICA_SEM_LOJA93,329234755.542707,329234755.542707,0.000000,OK
lojas soma PARES_LOJA_PRODUTO - REDE_FISICA_SEM_LOJA93,26395.000000,26395.000000,0.000000,OK
lojas status soma pares por linha - REDE_FISICA_SEM_LOJA93,1.000000,1.000000,0.000000,OK
categoria_loja soma RECEITA_HISTORICA_TOTAL - REDE_FISICA_SEM_LOJA93,329234755.542707,329234755.542707,-0.000000,OK
categoria_loja soma PARES_LOJA_PRODUTO - REDE_FISICA_SEM_LOJA93,26395.000000,26395.000000,0.000000,OK
categoria_loja status soma pares por linha - REDE_FISICA_SEM_LOJA93,1.000000,1.000000,0.000000,OK
categorias_n1 diferenca maxima vs Etapa 3,0.000000,0.000000,0.000000,OK
categorias_n2 diferenca maxima vs Etapa 3,0.000000,0.000000,0.000000,OK
categorias_n3 diferenca maxima vs Etapa 3,0.000001,0.000000,0.000001,OK
lojas diferenca maxima vs Etapa 3,0.000000,0.000000,0.000000,OK
Loja 93 ausente do universo fisico nas agregacoes por loja,1.000000,1.000000,0.000000,OK
Prioridades sem duplicar fisico dentro de rede completa,1.000000,1.000000,0.000000,OK
Prioridades possuem apenas receita em risco positiva,1.000000,1.000000,0.000000,OK
Medias finitas de dias nao carregam infinito,1.000000,1.000000,0.000000,OK
