UNIVERSO,RANK_PRIORIDADE,FAIXA_PRIORIDADE,SCORE_PRIORIDADE,N_MOTIVOS,MOTIVOS,COD_EMPRESA,CD_CIDADE,CD_ESTADO,CODIGO,DESCRICAO,NIVEL_1,EMBALAGEM,CURVA_ABC_RECEITA,RECEITA,PRECO_PRATICADO_ARM,CUSTO_MEDIO_ARM,MARGEM_BRUTA_PCT,MARKUP,PRECO_PRATICADO_VENDA,PRECO_LISTA_EMBALAGEM,DESCONTO_EFETIVO_PCT,PRECO_ARM_MEDIANA_REDE,DESVIO_VS_MEDIANA_PCT,LOJAS_NA_REDE,MOTIVO_MARGEM_BAIXA,MOTIVO_DESCONTO_ALTO,MOTIVO_PRECO_FORA_FAIXA,FLAG_MARGEM_NEGATIVA,ACAO_RECOMENDADA
REDE_COMPLETA,1,ALTA,3.096006,3,margem baixa + desconto alto + preco fora da faixa,1,GARANHUNS,PE,466115,LUSTRE LED NE 45W DO    LP-602D 5807,I - ILUMINACAO,0,B,587.580000,146.895000,124.926000,14.955581,1.175856,146.895000,283.395000,48.165987,267.804091,-45.148336,9.000000,1,1,1,0,"SKU 466115 (LUSTRE LED NE 45W DO    LP-602D 5807) na loja 1 (GARANHUNS-PE): revisar preco/custo (margem de 15,0%); validar desconto efetivo de 48,2% vs lista; alinhar preco (-45,1% vs mediana da rede)."
REDE_COMPLETA,2,ALTA,3.065385,3,margem baixa + desconto alto + preco fora da faixa,92,CABO DE SANTO AGOSTINHO,PE,454313,REFLETOR LED AL.100W         IP65 BR,I - ILUMINACAO,0,A,388.290000,38.829000,31.875400,17.908264,1.218149,38.829000,57.645000,32.641166,56.375927,-31.124857,10.000000,1,1,1,0,"SKU 454313 (REFLETOR LED AL.100W         IP65 BR) na loja 92 (CABO DE SANTO AGOSTINHO-PE): revisar preco/custo (margem de 17,9%); validar desconto efetivo de 32,6% vs lista; alinhar preco (-31,1% vs mediana da rede)."
REDE_COMPLETA,3,ALTA,3.057544,3,margem negativa + desconto alto + preco fora da faixa,7,NATAL,RN,388536,PORTA MAD.LISA 080X210WENGUE PREMIUM,"G - PORTAS, JANELAS E FECHADURAS",0,C,335.790000,167.895000,182.360000,-8.615504,0.920679,167.895000,438.795000,61.737258,428.145000,-60.785482,7.000000,1,1,1,1,"SKU 388536 (PORTA MAD.LISA 080X210WENGUE PREMIUM) na loja 7 (NATAL-RN): revisar preco/custo (margem negativa); validar desconto efetivo de 61,7% vs lista; alinhar preco (-60,8% vs mediana da rede)."
REDE_COMPLETA,4,ALTA,2.951479,2,desconto alto + preco fora da faixa,3,SALVADOR,BA,463933,FRIGOBAR 45L MRCO6B2         BR M220,D - ELETROS,0,,106998.012975,786.750095,,,,786.750095,1427.895000,44.901404,1180.558875,-33.357826,8.000000,0,1,1,0,"SKU 463933 (FRIGOBAR 45L MRCO6B2         BR M220) na loja 3 (SALVADOR-BA): validar desconto efetivo de 44,9% vs lista; alinhar preco (-33,4% vs mediana da rede)."
REDE_COMPLETA,5,ALTA,2.951183,2,desconto alto + preco fora da faixa,4,RECIFE,PE,460689,CAMA CONJUGADA OURO      138X188X064,O - MOVEIS,0,,106421.070000,485.940959,,,,485.940959,1153.950000,57.888907,810.686471,-40.058089,11.000000,0,1,1,0,"SKU 460689 (CAMA CONJUGADA OURO      138X188X064) na loja 4 (RECIFE-PE): validar desconto efetivo de 57,9% vs lista; alinhar preco (-40,1% vs mediana da rede)."
REDE_COMPLETA,6,ALTA,2.928402,2,margem baixa + desconto alto,1,GARANHUNS,PE,429455,TOM.CJ.1T 2P+T 10A        LGX030 POP,E - MATERIAIS ELETRICOS,0,A,67624.585000,4.332965,3.572000,17.562224,1.213036,4.332965,11.445000,62.140978,4.642745,-6.672342,9.000000,1,1,0,0,"SKU 429455 (TOM.CJ.1T 2P+T 10A        LGX030 POP) na loja 1 (GARANHUNS-PE): revisar preco/custo (margem de 17,6%); validar desconto efetivo de 62,1% vs lista."
REDE_COMPLETA,7,ALTA,2.920710,2,desconto alto + preco fora da faixa,93,ALHANDRA,PB,488473,RACK TV 1.40X0.58 PALADIO         BR,O - MOVEIS,0,,58288.860000,346.957500,,,,346.957500,524.895000,33.899637,545.895000,-36.442448,11.000000,0,1,1,0,"SKU 488473 (RACK TV 1.40X0.58 PALADIO         BR) na loja 93 (ALHANDRA-PB): validar desconto efetivo de 33,9% vs lista; alinhar preco (-36,4% vs mediana da rede)."
REDE_COMPLETA,8,ALTA,2.905030,2,desconto alto + preco fora da faixa,3,SALVADOR,BA,427734,PLAFON LED RED. MILAO   BR  18W MBIV,I - ILUMINACAO,0,,47859.945000,90.131723,,,,90.131723,209.895000,57.058661,60.835385,48.156741,9.000000,0,1,1,0,"SKU 427734 (PLAFON LED RED. MILAO   BR  18W MBIV) na loja 3 (SALVADOR-BA): validar desconto efetivo de 57,1% vs lista; alinhar preco (48,2% vs mediana da rede)."
REDE_COMPLETA,9,ALTA,2.893491,2,desconto alto + preco fora da faixa,92,CABO DE SANTO AGOSTINHO,PE,481706,TV LED 55 UHD SMT 4K  QLED QN55LS03D,R - ELETRONICOS,0,,41481.100500,4609.011167,,,,4609.011167,6593.895000,30.101842,3234.501375,42.495261,8.000000,0,1,1,0,"SKU 481706 (TV LED 55 UHD SMT 4K  QLED QN55LS03D) na loja 92 (CABO DE SANTO AGOSTINHO-PE): validar desconto efetivo de 30,1% vs lista; alinhar preco (42,5% vs mediana da rede)."
REDE_COMPLETA,10,ALTA,2.853254,2,margem negativa + desconto alto,2,RECIFE,PE,467615,AP.JANTAR PORC.20PC NATUR     990100,B - UTILIDADES DOMESTICAS,0,B,27746.145000,315.297102,408.571000,-29.582859,0.771707,315.297102,471.345000,33.106938,341.456500,-7.661122,9.000000,1,1,0,1,"SKU 467615 (AP.JANTAR PORC.20PC NATUR     990100) na loja 2 (RECIFE-PE): revisar preco/custo (margem negativa); validar desconto efetivo de 33,1% vs lista."
REDE_COMPLETA,11,ALTA,2.833728,2,desconto alto + preco fora da faixa,4,RECIFE,PE,451133,ROUPEIRO 2.19 6P/AB/3G        CN/OFF,O - MOVEIS,0,A,24653.895000,1071.908478,561.847400,47.584387,1.907828,1071.908478,1994.895000,46.267424,1575.355000,-31.957655,11.000000,0,1,1,0,"SKU 451133 (ROUPEIRO 2.19 6P/AB/3G        CN/OFF) na loja 4 (RECIFE-PE): validar desconto efetivo de 46,3% vs lista; alinhar preco (-32,0% vs mediana da rede)."
REDE_COMPLETA,12,ALTA,2.827515,2,margem negativa + desconto alto,6,JOAO PESSOA,PB,467615,AP.JANTAR PORC.20PC NATUR     990100,B - UTILIDADES DOMESTICAS,0,B,23765.595000,330.077708,408.571000,-23.780246,0.807883,330.077708,490.245000,32.670867,341.456500,-3.332428,9.000000,1,1,0,1,"SKU 467615 (AP.JANTAR PORC.20PC NATUR     990100) na loja 6 (JOAO PESSOA-PB): revisar preco/custo (margem negativa); validar desconto efetivo de 32,7% vs lista."
REDE_COMPLETA,13,ALTA,2.825148,2,margem negativa + desconto alto,6,JOAO PESSOA,PB,447868,PRATO RASO PORC.28CM    PEIXES 80000,B - UTILIDADES DOMESTICAS,0,B,23562.248325,17.274376,26.235400,-51.874665,0.658438,17.274376,26.145000,33.928569,16.824973,2.671043,9.000000,1,1,0,1,"SKU 447868 (PRATO RASO PORC.28CM    PEIXES 80000) na loja 6 (JOAO PESSOA-PB): revisar preco/custo (margem negativa); validar desconto efetivo de 33,9% vs lista."
