UNIVERSO,CODIGO,EMBALAGEM,DESCRICAO,NIVEL_1,LOJAS,RECEITA,PRECO_ARM_MEDIO,PRECO_ARM_MEDIANA,PRECO_ARM_DESVPAD,PRECO_ARM_MIN,PRECO_ARM_MAX,CV_PRECO,AMPLITUDE_PCT,FLAG_DISPERSAO_ALTA
REDE_COMPLETA,426271,0,"REVEST.A 30X90 WHITE HIGHW.MAT1,07M2",C - PISOS E REVESTIMENTOS,2,6326.765550,91.926154,91.926154,58.875342,50.295000,133.557308,0.640463,90.575211,1
REDE_COMPLETA,432465,0,XICARA CAFE CER.75ML C/P  RS  102441,B - UTILIDADES DOMESTICAS,3,4258.380000,15.854848,12.678750,9.712236,8.128294,26.757500,0.612572,117.498485,1
REDE_COMPLETA,372512,0,"PORCEL.A 90X90 ESM.MUNARI M.EX1,63M2",C - PISOS E REVESTIMENTOS,2,37782.731700,87.522298,87.522298,49.677502,52.395000,122.649597,0.567598,80.270512,1
REDE_COMPLETA,421455,0,"REVEST.A 35X59 RVE35420       2,05M2",C - PISOS E REVESTIMENTOS,2,4535.317500,32.809286,32.809286,16.849344,20.895000,44.723571,0.513554,72.627523,1
REDE_COMPLETA,446697,0,BALCAO COZ. MDF CANTO FRJ/GRF 500341,O - MOVEIS,6,5993.400000,499.149583,505.645000,251.346152,209.422500,839.895000,0.503549,126.309331,1
REDE_COMPLETA,471329,0,XICARA CAFE PORC.75ML C/P      01298,B - UTILIDADES DOMESTICAS,3,1546.613250,13.310253,10.235167,6.607631,8.800592,20.895000,0.496432,90.865349,1
REDE_COMPLETA,181513,0,BACIA P/CX.M.CARLO P808   EB95 EBANO,W - LOUCAS E PIAS,7,13065.990000,722.411500,619.500000,351.160530,314.895000,1151.395000,0.486095,115.792730,1
REDE_COMPLETA,407150,0,PORTA-BOLO IX 32CM C/TP     1525/499,B - UTILIDADES DOMESTICAS,3,1515.958500,46.622705,50.295000,20.983958,24.045000,65.528114,0.450080,88.976206,1
REDE_COMPLETA,261159,0,TORNEIRA ELET.MESA CR SENS.1188 M220,U - METAIS E ACESSORIOS,5,36581.475000,3248.637000,2950.500000,1381.893588,1364.895000,4756.395000,0.425376,104.397629,1
REDE_COMPLETA,338835,0,"PORCEL.A 60X60 ESM.PIETRA SAB.2,15M2",C - PISOS E REVESTIMENTOS,5,5122.199775,58.394175,50.890875,24.829956,31.395000,91.245000,0.425213,102.493100,1
REDE_COMPLETA,430402,0,"PORCEL.A 60X120NAT.FILO BC TX.1,43M2",C - PISOS E REVESTIMENTOS,5,23289.165900,118.573000,125.475000,48.102776,62.895000,168.595000,0.405681,89.143397,1
REDE_COMPLETA,471289,0,XICARA CAFE CER.65ML C/P       20090,B - UTILIDADES DOMESTICAS,5,5320.759500,15.336027,17.445207,6.200440,8.563793,20.895000,0.404305,80.406794,1
REDE_COMPLETA,347230,0,ABRACAD.PLS P/TUBO 40 A 75MM,E - MATERIAIS ELETRICOS,7,2332.669500,7.512013,7.140000,2.973629,2.089500,11.445000,0.395850,124.540520,1
REDE_COMPLETA,330064,0,CUBA LOC.SOB.QUAD.L735          BR17,W - LOUCAS E PIAS,7,17744.370000,876.604643,883.695000,342.779639,478.695000,1301.895000,0.391031,93.907785,1
REDE_COMPLETA,298479,0,BACIA SNT.AZALEA PLUS      9130 PG59,W - LOUCAS E PIAS,5,7360.290000,440.968500,514.500000,170.321853,136.395000,524.947500,0.386245,88.113437,1
REDE_COMPLETA,426288,0,"PORCEL.A 90X90ESM.HIGH L.N.INT1,61M2",C - PISOS E REVESTIMENTOS,2,5318.989200,86.520000,86.520000,33.410795,62.895000,110.145000,0.386163,54.611650,1
REDE_COMPLETA,445956,0,"PORCEL.A 76X76 EPO.BALAN.GREY 1,73M2",C - PISOS E REVESTIMENTOS,3,21977.106900,90.369583,98.068750,33.740384,53.445000,119.595000,0.373360,73.199408,1
REDE_COMPLETA,267049,0,CUBA LOC.SOB/AP.41X34 Q7 173045 BR01,W - LOUCAS E PIAS,7,16089.990000,586.295000,471.450000,218.586170,321.195000,896.595000,0.372826,98.141720,1
REDE_COMPLETA,489208,0,CADEIRA SALA LINHO MAD 3285  BG 2564,O - MOVEIS,3,76001.520000,362.432313,419.895000,133.433086,209.895000,457.506940,0.368160,68.319499,1
