UNIVERSO,NIVEL_1,SKUS,SKUS_COM_CUSTO,LINHAS_VENDA,RECEITA_TOTAL,QTD_ARM_TOTAL,RECEITA_COM_CUSTO,QTD_ARM_COM_CUSTO,CMV,PRECO_PRATICADO_ARM,PRECO_PRATICADO_ARM_COM_CUSTO,CUSTO_MEDIO_ARM_PONDERADO,MARGEM_BRUTA_RS_UNIT,MARGEM_BRUTA_TOTAL,MARGEM_BRUTA_PCT,MARKUP_PONDERADO,COBERTURA_CUSTO_RECEITA_PCT,PART_RECEITA_UNIVERSO_PCT
LOJA_93_ATACADO_B2B,D - ELETROS,149,17,14847,116128352.137534,74277.000000,19661639.913561,10183.000000,11028061.764000,1563.449683,1930.829806,1082.987505,847.842301,8633578.149561,43.910773,1.782874,16.930956,75.761743
LOJA_93_ATACADO_B2B,R - ELETRONICOS,24,0,2676,26736776.873169,10051.000000,0.000000,0.000000,0.000000,2660.111121,,,,0.000000,,,0.000000,17.442983
LOJA_93_ATACADO_B2B,O - MOVEIS,110,0,7035,9072906.548433,12376.000000,0.000000,0.000000,0.000000,733.104925,,,,0.000000,,,0.000000,5.919133
LOJA_93_ATACADO_B2B,N - INDUSTRIAL E NEGOCIOS,43,0,320,1340754.324000,367.000000,0.000000,0.000000,0.000000,3653.281537,,,,0.000000,,,0.000000,0.874704
LOJA_93_ATACADO_B2B,I - ILUMINACAO,1,0,5,2202.690000,5.000000,0.000000,0.000000,0.000000,440.538000,,,,0.000000,,,0.000000,0.001437
REDE_COMPLETA,D - ELETROS,286,43,60693,197570549.210439,194585.000000,38988957.511542,26581.000000,22189793.113353,1015.343162,1466.797995,834.799034,631.998962,16799164.398190,43.086980,1.757067,19.734195,40.945928
REDE_COMPLETA,I - ILUMINACAO,213,76,121468,25323418.840395,556375.000000,15914310.024697,318942.000000,7749314.246806,45.515019,49.897191,24.296939,25.600253,8164995.777891,51.305999,2.053641,62.844240,5.248206
REDE_COMPLETA,C - PISOS E REVESTIMENTOS,325,34,43921,54643661.465974,779089.610000,11532347.365686,195191.160000,5058898.737544,70.137839,59.082324,25.917663,33.164661,6473448.628142,56.132966,2.279616,21.104639,11.324742
REDE_COMPLETA,E - MATERIAIS ELETRICOS,111,47,123882,11332398.322962,1054619.000000,6763846.321027,785307.000000,3157962.430000,10.745490,8.612996,4.021309,4.591687,3605883.891027,53.311145,2.141839,59.685921,2.348607
REDE_COMPLETA,O - MOVEIS,193,13,41752,22722892.600933,70744.000000,3858569.456000,11900.000000,1890354.494800,321.198866,324.249534,158.853319,165.396215,1968214.961200,51.008929,2.041188,16.980978,4.709254
REDE_COMPLETA,U - METAIS E ACESSORIOS,142,1,92116,20361396.718842,275018.000000,628538.345720,31234.000000,373458.691200,74.036597,20.123530,11.956800,8.166730,255079.654520,40.582990,1.683020,3.086912,4.219841
REDE_COMPLETA,B - UTILIDADES DOMESTICAS,529,12,239045,22513813.983700,721870.000000,597346.634901,23814.000000,689539.030400,31.188183,25.083843,28.955196,-3.871353,-92192.395499,-15.433651,0.866299,2.653245,4.665923
REDE_COMPLETA,"L - INFANTIL, LAZER E PETS",27,11,7652,827989.295000,11707.000000,391242.862500,2432.000000,180998.757800,70.726001,160.872888,74.423831,86.449056,210244.104700,53.737493,2.161578,47.252164,0.171598
REDE_COMPLETA,"K - CAMA, MESA E BANHO",358,12,185127,23212282.177587,440229.000000,195688.888500,1100.000000,59550.287800,52.727744,177.898990,54.136625,123.762364,136138.600700,69.568897,3.286112,0.843040,4.810679
REDE_COMPLETA,"G - PORTAS, JANELAS E FECHADURAS",39,7,13480,5242924.637250,31977.000000,165941.895000,472.000000,71915.640000,163.959241,351.571811,152.363644,199.208167,94026.255000,56.662156,2.307452,3.165064,1.086581
REDE_COMPLETA,V - DECORACAO,127,3,45357,7907238.679841,103941.000000,28211.820000,464.000000,10884.673600,76.074299,60.801336,23.458348,37.342988,17327.146400,61.418038,2.591885,0.356785,1.638752
REDE_COMPLETA,W - LOUCAS E PIAS,90,1,9565,4733143.460500,13094.000000,20145.300000,34.000000,11439.762400,361.474222,592.508824,336.463600,256.045224,8705.537600,43.213740,1.760989,0.425622,0.980930
REDE_COMPLETA,T - ARTIGOS DE EPOCA,6,1,1794,221035.116017,12096.000000,13975.045000,711.000000,4290.742800,18.273406,19.655478,6.034800,13.620678,9684.302200,69.297109,3.257022,6.322545,0.045809
REDE_COMPLETA,R - ELETRONICOS,28,0,7874,47868778.312185,19821.000000,0.000000,0.000000,0.000000,2415.053646,,,,0.000000,,,0.000000,9.920667
REDE_COMPLETA,S - TINTAS E QUIMICOS,65,0,43300,18899431.247968,216422.000000,0.000000,0.000000,0.000000,87.326756,,,,0.000000,,,0.000000,3.916853
REDE_COMPLETA,F - FERRAMENTAS,21,0,9579,7107013.035250,15320.000000,0.000000,0.000000,0.000000,463.904245,,,,0.000000,,,0.000000,1.472908
REDE_COMPLETA,N - INDUSTRIAL E NEGOCIOS,72,0,8425,5522517.854000,16112.000000,0.000000,0.000000,0.000000,342.758059,,,,0.000000,,,0.000000,1.144526
REDE_COMPLETA,M - MAQUINAS E MOTORES,21,0,2263,3623899.009500,2631.000000,0.000000,0.000000,0.000000,1377.384648,,,,0.000000,,,0.000000,0.751043
REDE_COMPLETA,A - AUTOMOTIVO,19,0,8099,1337411.032250,23650.000000,0.000000,0.000000,0.000000,56.550149,,,,0.000000,,,0.000000,0.277175
REDE_COMPLETA,Q - BASICOS CONSTRUCAO,22,0,12157,758460.571750,52730.000000,0.000000,0.000000,0.000000,14.383853,,,,0.000000,,,0.000000,0.157189
REDE_COMPLETA,H - TUBOS E CONEXOES,26,0,7981,499932.132000,19428.000000,0.000000,0.000000,0.000000,25.732558,,,,0.000000,,,0.000000,0.103609
REDE_COMPLETA,J - JARDINAGEM,7,0,3043,199296.713000,4772.000000,0.000000,0.000000,0.000000,41.763771,,,,0.000000,,,0.000000,0.041304
REDE_COMPLETA,Y - EPI,2,0,1817,86263.698500,5653.000000,0.000000,0.000000,0.000000,15.259809,,,,0.000000,,,0.000000,0.017878
