UNIVERSO,NIVEL_1,NIVEL_2,SKUS,SKUS_COM_CUSTO,LINHAS_VENDA,RECEITA_TOTAL,QTD_ARM_TOTAL,RECEITA_COM_CUSTO,QTD_ARM_COM_CUSTO,CMV,PRECO_PRATICADO_ARM,PRECO_PRATICADO_ARM_COM_CUSTO,CUSTO_MEDIO_ARM_PONDERADO,MARGEM_BRUTA_RS_UNIT,MARGEM_BRUTA_TOTAL,MARGEM_BRUTA_PCT,MARKUP_PONDERADO,COBERTURA_CUSTO_RECEITA_PCT,PART_RECEITA_UNIVERSO_PCT
LOJA_93_ATACADO_B2B,D - ELETROS,DA - AR E VENTILACAO,76,6,7100,70739133.785070,52488.000000,9554613.591772,5348.000000,5214224.697000,1347.720122,1786.576962,974.985919,811.591042,4340388.894772,45.427153,1.832413,13.506829,46.149971
LOJA_93_ATACADO_B2B,D - ELETROS,DD - LAVADORAS E SECADORES,18,5,2009,17166579.347072,8587.000000,8472549.680789,4082.000000,5024968.772400,1999.135827,2075.587869,1231.006559,844.581310,3447580.908389,40.691186,1.686090,49.354909,11.199418
LOJA_93_ATACADO_B2B,D - ELETROS,DC - ELETRODOMESTICOS PARA COZINHA,32,4,3181,8275367.062395,6642.000000,1399408.878000,676.000000,656363.516400,1245.914945,2070.131476,970.951947,1099.179529,743045.361600,53.097088,2.132064,16.910535,5.398821
LOJA_93_ATACADO_B2B,D - ELETROS,DB - REFRIGERACAO,23,2,2557,19947271.942997,6560.000000,235067.763000,77.000000,132504.778200,3040.742674,3052.828091,1720.841275,1331.986816,102562.984800,43.631242,1.774032,1.178446,13.013533
LOJA_93_ATACADO_B2B,R - ELETRONICOS,RA - IMAGEM,22,0,2571,26472374.745669,9883.000000,0.000000,0.000000,0.000000,2678.576823,,,,0.000000,,,0.000000,17.270488
LOJA_93_ATACADO_B2B,O - MOVEIS,OA - SALA DE ESTAR E JANTAR,49,0,3283,3589255.356750,4566.000000,0.000000,0.000000,0.000000,786.083083,,,,0.000000,,,0.000000,2.341618
LOJA_93_ATACADO_B2B,O - MOVEIS,OC - QUARTO,22,0,1279,3287816.695933,3587.000000,0.000000,0.000000,0.000000,916.592332,,,,0.000000,,,0.000000,2.144960
LOJA_93_ATACADO_B2B,O - MOVEIS,OD - COZINHA E AREA DE SERVICO,24,0,1781,1824490.269000,3114.000000,0.000000,0.000000,0.000000,585.899251,,,,0.000000,,,0.000000,1.190291
LOJA_93_ATACADO_B2B,N - INDUSTRIAL E NEGOCIOS,NB - REFRIGERACAO E CONSERVACAO INDUSTRIAL,19,0,228,1198105.366500,274.000000,0.000000,0.000000,0.000000,4372.647323,,,,0.000000,,,0.000000,0.781640
LOJA_93_ATACADO_B2B,R - ELETRONICOS,RC - SOM,2,0,105,264402.127500,168.000000,0.000000,0.000000,0.000000,1573.822187,,,,0.000000,,,0.000000,0.172495
LOJA_93_ATACADO_B2B,O - MOVEIS,OF - ESCRITORIO,9,0,423,230025.915000,680.000000,0.000000,0.000000,0.000000,338.273404,,,,0.000000,,,0.000000,0.150068
LOJA_93_ATACADO_B2B,N - INDUSTRIAL E NEGOCIOS,NA - COZINHA INDUSTRIAL,19,0,68,115941.157500,68.000000,0.000000,0.000000,0.000000,1705.017022,,,,0.000000,,,0.000000,0.075640
LOJA_93_ATACADO_B2B,O - MOVEIS,OB - VARANDA E AREA EXTERNA,2,0,218,88329.116750,357.000000,0.000000,0.000000,0.000000,247.420495,,,,0.000000,,,0.000000,0.057626
LOJA_93_ATACADO_B2B,O - MOVEIS,OE - BANHEIRO,4,0,51,52989.195000,72.000000,0.000000,0.000000,0.000000,735.961042,,,,0.000000,,,0.000000,0.034570
LOJA_93_ATACADO_B2B,N - INDUSTRIAL E NEGOCIOS,NC - PROCESSADORES INDUSTRIAIS,5,0,24,26707.800000,25.000000,0.000000,0.000000,0.000000,1068.312000,,,,0.000000,,,0.000000,0.017424
LOJA_93_ATACADO_B2B,I - ILUMINACAO,IB - RESIDENCIAL,1,0,5,2202.690000,5.000000,0.000000,0.000000,0.000000,440.538000,,,,0.000000,,,0.000000,0.001437
REDE_COMPLETA,D - ELETROS,DA - AR E VENTILACAO,123,13,32495,119617421.659254,136639.000000,17424173.884425,13114.000000,9659784.453600,875.426647,1328.669657,736.600919,592.068738,7764389.430825,44.561019,1.803785,14.566585,24.790366
REDE_COMPLETA,C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,315,34,43299,54087458.166994,773244.690000,11532347.365686,195191.160000,5058898.737544,69.948697,59.082324,25.917663,33.164661,6473448.628142,56.132966,2.279616,21.321666,11.209470
REDE_COMPLETA,D - ELETROS,DD - LAVADORAS E SECADORES,27,6,4037,25598971.154247,12462.000000,10540040.584414,5017.000000,6257463.769000,2054.162346,2100.865175,1247.252097,853.613079,4282576.815414,40.631502,1.684395,41.173688,5.305313
REDE_COMPLETA,D - ELETROS,DB - REFRIGERACAO,46,4,5613,31059804.716277,11234.000000,7478692.815547,2409.000000,4207604.020600,2764.803696,3104.480206,1746.618522,1357.861683,3271088.794947,43.738777,1.777423,24.078364,6.437055
REDE_COMPLETA,I - ILUMINACAO,IB - RESIDENCIAL,134,41,47907,13389149.430750,124144.000000,7123586.118250,48020.000000,3550229.765071,107.851764,148.346233,73.932315,74.413918,3573356.353179,50.162324,2.006514,53.204172,2.774863
REDE_COMPLETA,I - ILUMINACAO,IA - LAMPADAS,34,13,51104,6312179.198802,288403.000000,4383909.482325,180377.000000,2081707.550000,21.886663,24.304149,11.540870,12.763279,2302201.932325,52.514814,2.105920,69.451601,1.308181
REDE_COMPLETA,I - ILUMINACAO,ID - JARDIM,21,17,14730,4085497.519122,86710.000000,4006049.521122,85261.000000,1954823.064639,47.116798,46.985721,22.927517,24.058203,2051226.456483,51.203223,2.049316,98.055365,0.846708
REDE_COMPLETA,E - MATERIAIS ELETRICOS,EA - TOMADAS E INTERRUPTORES,43,22,46278,4183192.302961,673558.000000,3461400.827321,638884.000000,1913520.569200,6.210590,5.417886,2.995099,2.422788,1547880.258121,44.718319,1.808917,82.745439,0.866955
REDE_COMPLETA,D - ELETROS,DC - ELETRODOMESTICOS PARA COZINHA,50,8,8814,15879781.442395,14234.000000,2842776.268500,2227.000000,1553725.799353,1115.623257,1276.504835,697.676605,578.828230,1289050.469147,45.344774,1.829651,17.901860,3.291039
REDE_COMPLETA,O - MOVEIS,OA - SALA DE ESTAR E JANTAR,66,6,13144,9888912.104750,24170.000000,2371570.806500,10011.000000,1326151.436000,409.139930,236.896495,132.469427,104.427067,1045419.370500,44.081305,1.788311,23.982120,2.049449
REDE_COMPLETA,E - MATERIAIS ELETRICOS,ED - PROTECAO DE CIRCUITOS ELETRICOS,37,19,46523,4121263.742732,186163.000000,2288300.764183,75604.000000,800062.989600,22.137932,30.266927,10.582284,19.684643,1488237.774583,65.036808,2.860151,55.524250,0.854120
REDE_COMPLETA,O - MOVEIS,OC - QUARTO,55,3,17687,6546440.420933,29469.000000,1094581.215000,684.000000,403508.912000,222.146677,1600.264934,589.925310,1010.339624,691072.303000,63.135772,2.712657,16.720250,1.356731
REDE_COMPLETA,U - METAIS E ACESSORIOS,UC - ACESSORIOS PARA BANHEIRO,74,1,54058,7191060.723880,171022.000000,628538.345720,31234.000000,373458.691200,42.047577,20.123530,11.956800,8.166730,255079.654520,40.582990,1.683020,8.740551,1.490327
REDE_COMPLETA,D - ELETROS,DE - ELETROPORTATEIS PARA COZINHA,30,8,7454,4676748.690465,13995.000000,595241.884157,3237.000000,453597.752000,334.172825,183.886897,140.129055,43.757841,141644.132157,23.796063,1.312268,12.727686,0.969243
REDE_COMPLETA,E - MATERIAIS ELETRICOS,"EI - PROGRAMADORES, SENSORES E VARIADORES",2,1,4422,900979.483523,20276.000000,578464.108523,13162.000000,259941.602800,44.435761,43.949560,19.749400,24.200160,318522.505723,55.063486,2.225362,64.203916,0.186725
REDE_COMPLETA,E - MATERIAIS ELETRICOS,"EC - CAIXAS, DUTOS E CALHAS ELETRICAS",15,5,13323,885887.304840,120337.000000,435680.621000,57657.000000,184437.268400,7.361720,7.556422,3.198870,4.357552,251243.352600,57.666864,2.362216,49.180140,0.183598
REDE_COMPLETA,I - ILUMINACAO,IC - COMERCIAL,16,5,6456,1351400.406471,54624.000000,400764.903000,5284.000000,162553.867095,24.740048,75.844985,30.763412,45.081574,238211.035905,59.439096,2.465428,29.655526,0.280074
REDE_COMPLETA,"L - INFANTIL, LAZER E PETS",LF - MOVEIS INFANTIS,11,9,1552,322148.295000,2030.000000,293280.435000,1869.000000,139274.037800,158.693741,156.918371,74.517944,82.400427,154006.397200,52.511651,2.105780,91.038953,0.066764
REDE_COMPLETA,B - UTILIDADES DOMESTICAS,BB - SERVIR - PRESENTES,236,4,86554,5794126.123399,421855.000000,280511.420401,17517.000000,389641.740600,13.734876,16.013668,22.243634,-6.229966,-109130.320199,-38.904056,0.719921,4.841307,1.200816
REDE_COMPLETA,O - MOVEIS,OD - COZINHA E AREA DE SERVICO,48,2,5925,3703443.096500,10884.000000,265601.595000,479.000000,99148.624400,340.264893,554.491848,206.990865,347.500982,166452.970600,62.670170,2.678823,7.171748,0.767528
REDE_COMPLETA,B - UTILIDADES DOMESTICAS,BJ - JOGOS E CONJUNTOS PARA SERVIR,37,3,12408,3118150.890913,23848.000000,230614.013000,643.000000,261898.429000,130.751044,358.653208,407.307044,-48.653835,-31284.416000,-13.565705,0.880548,7.395858,0.646228
REDE_COMPLETA,"K - CAMA, MESA E BANHO",KA - CAMA,123,12,51469,10880317.267031,147642.000000,195688.888500,1100.000000,59550.287800,73.693917,177.898990,54.136625,123.762364,136138.600700,69.568897,3.286112,1.798559,2.254914
REDE_COMPLETA,"G - PORTAS, JANELAS E FECHADURAS",GA - PORTAS,18,7,1768,420629.989500,2317.000000,165941.895000,472.000000,71915.640000,181.540781,351.571811,152.363644,199.208167,94026.255000,56.662156,2.307452,39.450800,0.087174
REDE_COMPLETA,O - MOVEIS,OB - VARANDA E AREA EXTERNA,5,2,1106,363773.422250,1596.000000,126815.839500,726.000000,61545.522400,227.928209,174.677465,84.773447,89.904018,65270.317100,51.468584,2.060521,34.861216,0.075391
REDE_COMPLETA,D - ELETROS,DF - ELETROPORTATEIS PARA CASA,10,4,2280,737821.547801,6021.000000,108032.074500,577.000000,57617.318800,122.541363,187.230632,99.856705,87.373927,50414.755700,46.666470,1.874993,14.642033,0.152911
REDE_COMPLETA,"L - INFANTIL, LAZER E PETS",LH - PRAIA E PISCINA,5,2,1915,301529.000500,3421.000000,97962.427500,563.000000,41724.720000,88.140602,174.000759,74.111403,99.889356,56237.707500,57.407425,2.347827,32.488559,0.062491
REDE_COMPLETA,B - UTILIDADES DOMESTICAS,BF - UTENSILIOS PARA PREPARACAO,18,1,9392,436515.852500,13048.000000,49021.350000,1754.000000,21285.491600,33.454618,27.948318,12.135400,15.812918,27735.858400,56.579140,2.303041,11.230142,0.090467
REDE_COMPLETA,B - UTILIDADES DOMESTICAS,BK - HIGIENE E LIMPEZA,22,4,14291,984830.707000,25650.000000,37199.851500,3900.000000,16713.369200,38.394959,9.538423,4.285479,5.252944,20486.482300,55.071409,2.225754,3.777284,0.204103
REDE_COMPLETA,V - DECORACAO,VA - OBJETOS PARA SALA E QUARTO,36,3,9007,970803.470000,24108.000000,28211.820000,464.000000,10884.673600,40.268934,60.801336,23.458348,37.342988,17327.146400,61.418038,2.591885,2.906028,0.201196
REDE_COMPLETA,W - LOUCAS E PIAS,WB - CUBAS E PIAS,50,1,5127,2723950.323500,7120.000000,20145.300000,34.000000,11439.762400,382.577293,592.508824,336.463600,256.045224,8705.537600,43.213740,1.760989,0.739562,0.564531
REDE_COMPLETA,T - ARTIGOS DE EPOCA,TC - DECORACAO NATALINA,2,1,417,52868.996250,3367.000000,13975.045000,711.000000,4290.742800,15.702108,19.655478,6.034800,13.620678,9684.302200,69.297109,3.257022,26.433347,0.010957
REDE_COMPLETA,R - ELETRONICOS,RA - IMAGEM,23,0,7355,47348811.333185,19069.000000,0.000000,0.000000,0.000000,2483.025399,,,,0.000000,,,0.000000,9.812905
REDE_COMPLETA,"K - CAMA, MESA E BANHO",KC - BANHO,215,0,121475,11721404.833806,250499.000000,0.000000,0.000000,0.000000,46.792222,,,,0.000000,,,0.000000,2.429227
REDE_COMPLETA,S - TINTAS E QUIMICOS,SB - MASSAS E TEXTURAS,6,0,5757,9961646.793793,146047.000000,0.000000,0.000000,0.000000,68.208500,,,,0.000000,,,0.000000,2.064523
REDE_COMPLETA,S - TINTAS E QUIMICOS,SA - TINTAS,43,0,26129,7359856.495425,47219.000000,0.000000,0.000000,0.000000,155.866420,,,,0.000000,,,0.000000,1.525309
REDE_COMPLETA,U - METAIS E ACESSORIOS,UA - DUCHAS E CHUVEIROS,34,0,19042,7104438.588284,49775.000000,0.000000,0.000000,0.000000,142.731062,,,,0.000000,,,0.000000,1.472374
REDE_COMPLETA,B - UTILIDADES DOMESTICAS,BA - COZINHAR,57,0,25550,6684006.389472,49573.000000,0.000000,0.000000,0.000000,134.831590,,,,0.000000,,,0.000000,1.385241
REDE_COMPLETA,F - FERRAMENTAS,"FA - GOLPE, PERFURACAO E FIXACAO ELETRICA",9,0,4863,5439373.110500,8042.000000,0.000000,0.000000,0.000000,676.370693,,,,0.000000,,,0.000000,1.127294
REDE_COMPLETA,U - METAIS E ACESSORIOS,"UB - TORNEIRAS, BICAS E MISTURADORES",22,0,11636,5397893.774177,38570.000000,0.000000,0.000000,0.000000,139.950578,,,,0.000000,,,0.000000,1.118698
REDE_COMPLETA,V - DECORACAO,VF - CORTINAS,60,0,20534,5211270.258568,37595.000000,0.000000,0.000000,0.000000,138.616046,,,,0.000000,,,0.000000,1.080021
REDE_COMPLETA,"G - PORTAS, JANELAS E FECHADURAS",GC - FECHADURAS,20,0,11700,4819903.167750,29645.000000,0.000000,0.000000,0.000000,162.587390,,,,0.000000,,,0.000000,0.998911
REDE_COMPLETA,N - INDUSTRIAL E NEGOCIOS,NB - REFRIGERACAO E CONSERVACAO INDUSTRIAL,25,0,988,3182233.488000,1195.000000,0.000000,0.000000,0.000000,2662.956894,,,,0.000000,,,0.000000,0.659509
REDE_COMPLETA,B - UTILIDADES DOMESTICAS,BD - ORGANIZAR,66,0,48549,2972745.172875,100744.000000,0.000000,0.000000,0.000000,29.507913,,,,0.000000,,,0.000000,0.616093
REDE_COMPLETA,M - MAQUINAS E MOTORES,MF - AGRICOLAS E JARDINAGEM,7,0,1193,2426428.525500,1416.000000,0.000000,0.000000,0.000000,1713.579467,,,,0.000000,,,0.000000,0.502870
REDE_COMPLETA,W - LOUCAS E PIAS,WA - BACIAS E CAIXAS,34,0,4134,1828423.037000,5662.000000,0.000000,0.000000,0.000000,322.928830,,,,0.000000,,,0.000000,0.378935
REDE_COMPLETA,F - FERRAMENTAS,FD - ACABAMENTO ELETRICO,6,0,3074,1505274.844250,5341.000000,0.000000,0.000000,0.000000,281.833897,,,,0.000000,,,0.000000,0.311964
REDE_COMPLETA,V - DECORACAO,VG - TAPETES,28,0,14421,1303505.709773,39651.000000,0.000000,0.000000,0.000000,32.874473,,,,0.000000,,,0.000000,0.270148
REDE_COMPLETA,N - INDUSTRIAL E NEGOCIOS,NA - COZINHA INDUSTRIAL,26,0,929,1262054.808000,1015.000000,0.000000,0.000000,0.000000,1243.403752,,,,0.000000,,,0.000000,0.261557
REDE_COMPLETA,O - MOVEIS,OE - BANHEIRO,8,0,1774,1206241.039500,1979.000000,0.000000,0.000000,0.000000,609.520485,,,,0.000000,,,0.000000,0.249990
REDE_COMPLETA,B - UTILIDADES DOMESTICAS,BL - LAVANDERIA,9,0,9831,1094158.956583,20593.000000,0.000000,0.000000,0.000000,53.132567,,,,0.000000,,,0.000000,0.226761
REDE_COMPLETA,O - MOVEIS,OF - ESCRITORIO,11,0,2116,1014082.517000,2646.000000,0.000000,0.000000,0.000000,383.251140,,,,0.000000,,,0.000000,0.210166
REDE_COMPLETA,E - MATERIAIS ELETRICOS,EK - PROTECAO DE EQUIPAMENTOS ELETRICOS,3,0,4693,853744.242156,24328.000000,0.000000,0.000000,0.000000,35.093071,,,,0.000000,,,0.000000,0.176936
REDE_COMPLETA,S - TINTAS E QUIMICOS,SC - ADERENTES E VEDADORES,10,0,8828,750562.916750,18915.000000,0.000000,0.000000,0.000000,39.680831,,,,0.000000,,,0.000000,0.155552
REDE_COMPLETA,A - AUTOMOTIVO,AD - LUBRIFICANTES E ADITIVOS,4,0,3005,737055.500250,15873.000000,0.000000,0.000000,0.000000,46.434543,,,,0.000000,,,0.000000,0.152753
REDE_COMPLETA,N - INDUSTRIAL E NEGOCIOS,NC - PROCESSADORES INDUSTRIAIS,13,0,653,684936.420000,701.000000,0.000000,0.000000,0.000000,977.084765,,,,0.000000,,,0.000000,0.141951
REDE_COMPLETA,Q - BASICOS CONSTRUCAO,QJ - SUPORTES,18,0,10728,669063.582250,49714.000000,0.000000,0.000000,0.000000,13.458253,,,,0.000000,,,0.000000,0.138662
REDE_COMPLETA,B - UTILIDADES DOMESTICAS,BE - ARMAZENAR,29,0,11678,667022.994858,22564.000000,0.000000,0.000000,0.000000,29.561381,,,,0.000000,,,0.000000,0.138239
REDE_COMPLETA,"K - CAMA, MESA E BANHO",KB - MESA,20,0,12183,610560.076750,42088.000000,0.000000,0.000000,0.000000,14.506750,,,,0.000000,,,0.000000,0.126537
REDE_COMPLETA,S - TINTAS E QUIMICOS,SF - SELADORES E VERNIZES,1,0,1258,578857.562500,2433.000000,0.000000,0.000000,0.000000,237.919261,,,,0.000000,,,0.000000,0.119967
