UNIVERSO,NIVEL_1,NIVEL_2,NIVEL_3,SKUS,SKUS_COM_CUSTO,LINHAS_VENDA,RECEITA_TOTAL,QTD_ARM_TOTAL,RECEITA_COM_CUSTO,QTD_ARM_COM_CUSTO,CMV,PRECO_PRATICADO_ARM,PRECO_PRATICADO_ARM_COM_CUSTO,CUSTO_MEDIO_ARM_PONDERADO,MARGEM_BRUTA_RS_UNIT,MARGEM_BRUTA_TOTAL,MARGEM_BRUTA_PCT,MARKUP_PONDERADO,COBERTURA_CUSTO_RECEITA_PCT,PART_RECEITA_UNIVERSO_PCT
LOJA_93_ATACADO_B2B,D - ELETROS,DD - LAVADORAS E SECADORES,DDA - LAVADORAS DE ROUPAS,18,5,2009,17166579.347072,8587.000000,8472549.680789,4082.000000,5024968.772400,1999.135827,2075.587869,1231.006559,844.581310,3447580.908389,40.691186,1.686090,49.354909,11.199418
LOJA_93_ATACADO_B2B,D - ELETROS,DA - AR E VENTILACAO,DAP - AR CONDICIONADO SPLIT ON/OFF,12,2,562,8515063.751479,5068.000000,5841298.739496,2638.000000,2836662.308400,1680.162540,2214.290652,1075.307926,1138.982726,3004636.431096,51.437815,2.059215,68.599589,5.555199
LOJA_93_ATACADO_B2B,D - ELETROS,DA - AR E VENTILACAO,DAQ - AR CONDICIONADO SPLIT INVERTER,54,4,6360,62088642.211341,46928.000000,3713314.852276,2710.000000,2377562.388600,1323.061759,1370.226883,877.329295,492.897588,1335752.463676,35.971969,1.561816,5.980667,40.506420
LOJA_93_ATACADO_B2B,D - ELETROS,DC - ELETRODOMESTICOS PARA COZINHA,DCA - FOGOES,16,3,2440,7244419.770895,5650.000000,1320137.668500,560.000000,612136.892400,1282.198190,2357.388694,1093.101594,1264.287100,708000.776100,53.630829,2.156605,18.222821,4.726235
LOJA_93_ATACADO_B2B,D - ELETROS,DB - REFRIGERACAO,DBA - REFRIGERADORES,19,2,2497,19684725.921497,6457.000000,235067.763000,77.000000,132504.778200,3048.586948,3052.828091,1720.841275,1331.986816,102562.984800,43.631242,1.774032,1.194163,12.842248
LOJA_93_ATACADO_B2B,D - ELETROS,DC - ELETRODOMESTICOS PARA COZINHA,DCB - FOGOES COOKTOPS,8,1,474,503171.067000,658.000000,79271.209500,116.000000,44226.624000,764.697670,683.372496,381.264000,302.108496,35044.585500,44.208466,1.792387,15.754326,0.328267
LOJA_93_ATACADO_B2B,R - ELETRONICOS,RA - IMAGEM,RAA - TVS,22,0,2571,26472374.745669,9883.000000,0.000000,0.000000,0.000000,2678.576823,,,,0.000000,,,0.000000,17.270488
LOJA_93_ATACADO_B2B,O - MOVEIS,OC - QUARTO,OCL - CONJUNTOS DE CAMA BOX,1,0,273,1518840.300833,2049.000000,0.000000,0.000000,0.000000,741.259298,,,,0.000000,,,0.000000,0.990886
LOJA_93_ATACADO_B2B,O - MOVEIS,OC - QUARTO,OCA - ROUPEIROS,6,0,618,1358148.145100,1063.000000,0.000000,0.000000,0.000000,1277.655828,,,,0.000000,,,0.000000,0.886051
LOJA_93_ATACADO_B2B,O - MOVEIS,OA - SALA DE ESTAR E JANTAR,OAL - MESAS DE JANTAR,10,0,1183,1208158.666750,1688.000000,0.000000,0.000000,0.000000,715.733807,,,,0.000000,,,0.000000,0.788199
