UNIVERSO,COD_EMPRESA,CD_CIDADE,CD_ESTADO,SKUS,SKUS_COM_CUSTO,LINHAS_VENDA,RECEITA_TOTAL,QTD_ARM_TOTAL,RECEITA_COM_CUSTO,QTD_ARM_COM_CUSTO,CMV,PRECO_PRATICADO_ARM,PRECO_PRATICADO_ARM_COM_CUSTO,CUSTO_MEDIO_ARM_PONDERADO,MARGEM_BRUTA_RS_UNIT,MARGEM_BRUTA_TOTAL,MARGEM_BRUTA_PCT,MARKUP_PONDERADO,COBERTURA_CUSTO_RECEITA_PCT,PART_RECEITA_UNIVERSO_PCT
REDE_COMPLETA,93,ALHANDRA,PB,327,31,24883,153280992.573136,97076.000000,27235068.916108,13427.000000,15216668.575847,1578.979280,2028.380794,1133.288789,895.092004,12018400.340260,44.128401,1.789818,17.768067,31.767045
REDE_COMPLETA,2,RECIFE,PE,2516,245,168222,53377091.636405,805683.240000,9050534.338605,241459.600000,4533868.878516,66.250716,37.482603,18.776925,18.705678,4516665.460089,49.904959,1.996206,16.955840,11.062249
REDE_COMPLETA,3,SALVADOR,BA,2446,245,163108,62599992.354728,878132.710000,8568021.665906,302773.000000,4053273.731006,71.287622,28.298500,13.387170,14.911329,4514747.934899,52.693003,2.113852,13.686937,12.973668
REDE_COMPLETA,4,RECIFE,PE,2477,243,168176,43308232.955665,664389.230000,6216235.714917,176464.210000,3270210.401098,65.185032,35.226609,18.531862,16.694747,2946025.313819,47.392432,1.900867,14.353473,8.975507
REDE_COMPLETA,6,JOAO PESSOA,PB,2387,242,126733,34816801.877228,518511.930000,5459401.596215,138894.270000,2782199.605926,67.147543,39.306169,20.031061,19.275108,2677201.990289,49.038378,1.962261,15.680365,7.215682
REDE_COMPLETA,92,CABO DE SANTO AGOSTINHO,PE,465,63,9107,28564884.679230,47817.950000,5157293.706024,10032.730000,2902202.049951,597.367404,514.046895,289.273413,224.773482,2255091.656074,43.726260,1.777028,18.054663,5.919990
REDE_COMPLETA,8,CARUARU,PE,2232,230,81056,21341319.339644,350865.490000,4054630.356072,128806.270000,2046389.126545,60.824789,31.478517,15.887341,15.591176,2008241.229527,49.529576,1.981358,18.998968,4.422927
REDE_COMPLETA,5,ARACAJU,SE,2187,219,94289,23529731.771560,347034.950000,3612604.265510,95056.860000,1781947.891167,67.802196,38.004667,18.746126,19.258540,1830656.374343,50.674146,2.027334,15.353359,4.876469
REDE_COMPLETA,9,SALVADOR,BA,2113,238,100680,21066060.289292,386495.810000,3416389.244408,138773.390000,1660251.278676,54.505275,24.618475,11.963758,12.654717,1756137.965732,51.403334,2.057754,16.217504,4.365880
REDE_COMPLETA,7,NATAL,RN,2203,223,93598,22250427.201873,297469.540000,3346522.895727,70956.380000,1730601.661747,74.799010,47.163101,24.389655,22.773445,1615921.233979,48.286573,1.933734,15.040264,4.611337
REDE_COMPLETA,1,GARANHUNS,PE,2034,209,60538,18380213.437082,248406.760000,2982418.771083,81538.450000,1470787.408025,73.992404,36.576839,18.037961,18.538878,1511631.363058,50.684745,2.027770,16.226247,3.809246
REDE_FISICA_SEM_LOJA93,2,RECIFE,PE,2516,243,168222,53377091.636405,805683.240000,8981178.268605,241428.600000,4495634.955847,66.250716,37.200142,18.620971,18.579171,4485543.312758,49.943818,1.997755,16.825904,16.212472
REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,2446,238,163108,62599992.354728,878132.710000,8453112.280406,302728.000000,3989362.493344,71.287622,27.923127,13.178043,14.745084,4463749.787061,52.805992,2.118913,13.503376,19.013786
REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,2477,241,168176,43308232.955665,664389.230000,6167604.702417,176441.210000,3242054.558538,65.185032,34.955579,18.374701,16.580878,2925550.143879,47.434138,1.902375,14.241183,13.154211
REDE_FISICA_SEM_LOJA93,6,JOAO PESSOA,PB,2387,240,126733,34816801.877228,518511.930000,5427634.686215,138881.270000,2766342.972380,67.147543,39.081114,19.918762,19.162352,2661291.713835,49.032256,1.962025,15.589125,10.575069
REDE_FISICA_SEM_LOJA93,8,CARUARU,PE,2232,228,81056,21341319.339644,350865.490000,4017451.399572,128790.270000,2026715.383556,60.824789,31.193749,15.736557,15.457193,1990736.016016,49.552212,1.982247,18.824756,6.482098
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,465,59,9107,28564884.679230,47817.950000,3739773.025399,9337.730000,2038393.239616,597.367404,400.501302,218.296442,182.204860,1701379.785783,45.494199,1.834667,13.092204,8.676145
REDE_FISICA_SEM_LOJA93,5,ARACAJU,SE,2187,212,94289,23529731.771560,347034.950000,3530155.514510,95020.860000,1734216.392738,67.802196,37.151374,18.250902,18.900472,1795939.121772,50.874221,2.035591,15.002957,7.146795
REDE_FISICA_SEM_LOJA93,9,SALVADOR,BA,2113,232,100680,21066060.289292,386495.810000,3341875.973408,138745.390000,1620375.395967,54.505275,24.086393,11.678769,12.407624,1721500.577441,51.513000,2.062408,15.863792,6.398492
REDE_FISICA_SEM_LOJA93,7,NATAL,RN,2203,221,93598,22250427.201873,297469.540000,3310983.325227,70941.380000,1712136.886598,74.799010,46.672102,24.134530,22.537572,1598846.438629,48.289172,1.933831,14.880538,6.758225
REDE_FISICA_SEM_LOJA93,1,GARANHUNS,PE,2034,207,60538,18380213.437082,248406.760000,2943800.296083,81523.450000,1452450.536967,73.992404,36.109859,17.816353,18.293506,1491349.759116,50.660697,2.026782,16.016138,5.582708
