UNIVERSO,NIVEL_1,PARES_LOJA_SKU,SKUS,RECEITA_HISTORICA_TOTAL,PARES_COM_COMPRA_RECOMENDADA,SKUS_COM_COMPRA_RECOMENDADA,QTD_RECOMENDADA_ARM,INVESTIMENTO_ESTIMADO_COM_CUSTO,PARES_COMPRA_COM_CUSTO,PARES_COMPRA_SEM_CUSTO,COBERTURA_CUSTO_PARES_COMPRA_PCT
LOJA_93_ATACADO_B2B,D - ELETROS,272,272,116128352.137534,120,120,19778.000000,1954947.920200,12,108,10.000000
LOJA_93_ATACADO_B2B,O - MOVEIS,186,186,9072906.548433,93,93,3367.000000,,0,93,0.000000
LOJA_93_ATACADO_B2B,R - ELETRONICOS,27,27,26736776.873169,22,22,2484.000000,,0,22,0.000000
LOJA_93_ATACADO_B2B,N - INDUSTRIAL E NEGOCIOS,72,72,1340754.324000,28,28,167.000000,,0,28,0.000000
LOJA_93_ATACADO_B2B,A - AUTOMOTIVO,18,18,0.000000,0,0,0.000000,,0,0,
LOJA_93_ATACADO_B2B,B - UTILIDADES DOMESTICAS,434,434,0.000000,0,0,0.000000,,0,0,
LOJA_93_ATACADO_B2B,C - PISOS E REVESTIMENTOS,267,267,0.000000,0,0,0.000000,,0,0,
LOJA_93_ATACADO_B2B,E - MATERIAIS ELETRICOS,109,109,0.000000,0,0,0.000000,,0,0,
LOJA_93_ATACADO_B2B,F - FERRAMENTAS,20,20,0.000000,0,0,0.000000,,0,0,
LOJA_93_ATACADO_B2B,"G - PORTAS, JANELAS E FECHADURAS",37,37,0.000000,0,0,0.000000,,0,0,
LOJA_93_ATACADO_B2B,H - TUBOS E CONEXOES,26,26,0.000000,0,0,0.000000,,0,0,
LOJA_93_ATACADO_B2B,I - ILUMINACAO,184,184,2202.690000,0,0,0.000000,,0,0,
LOJA_93_ATACADO_B2B,J - JARDINAGEM,7,7,0.000000,0,0,0.000000,,0,0,
LOJA_93_ATACADO_B2B,"K - CAMA, MESA E BANHO",224,224,0.000000,0,0,0.000000,,0,0,
LOJA_93_ATACADO_B2B,"L - INFANTIL, LAZER E PETS",22,22,0.000000,0,0,0.000000,,0,0,
LOJA_93_ATACADO_B2B,M - MAQUINAS E MOTORES,21,21,0.000000,0,0,0.000000,,0,0,
LOJA_93_ATACADO_B2B,Q - BASICOS CONSTRUCAO,22,22,0.000000,0,0,0.000000,,0,0,
LOJA_93_ATACADO_B2B,S - TINTAS E QUIMICOS,63,63,0.000000,0,0,0.000000,,0,0,
LOJA_93_ATACADO_B2B,T - ARTIGOS DE EPOCA,3,3,0.000000,0,0,0.000000,,0,0,
LOJA_93_ATACADO_B2B,U - METAIS E ACESSORIOS,132,132,0.000000,0,0,0.000000,,0,0,
LOJA_93_ATACADO_B2B,V - DECORACAO,88,88,0.000000,0,0,0.000000,,0,0,
LOJA_93_ATACADO_B2B,W - LOUCAS E PIAS,90,90,0.000000,0,0,0.000000,,0,0,
