UNIVERSO,COD_EMPRESA,CD_CIDADE,CD_ESTADO,FLAG_LOJA93,PARES_LOJA_SKU,SKUS,RECEITA_HISTORICA_TOTAL,PARES_COM_COMPRA_RECOMENDADA,SKUS_COM_COMPRA_RECOMENDADA,QTD_RECOMENDADA_ARM,INVESTIMENTO_ESTIMADO_COM_CUSTO,PARES_COMPRA_COM_CUSTO,PARES_COMPRA_SEM_CUSTO,COBERTURA_CUSTO_PARES_COMPRA_PCT
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,1,2326,2326,153280992.573136,263,263,25796.000000,1954947.920200,12,251,4.562738
REDE_COMPLETA,93,ALHANDRA,PB,1,2326,2326,153280992.573136,263,263,25796.000000,1954947.920200,12,251,4.562738
REDE_COMPLETA,2,RECIFE,PE,0,2695,2695,53377091.636405,2322,2322,151777.000000,836781.421053,173,2149,7.450474
REDE_COMPLETA,4,RECIFE,PE,0,2692,2692,43308232.955665,2386,2386,133309.000000,787640.681911,238,2148,9.974853
REDE_COMPLETA,3,SALVADOR,BA,0,2683,2683,62599992.354728,2305,2305,166885.000000,716082.328825,208,2097,9.023861
REDE_COMPLETA,6,JOAO PESSOA,PB,0,2672,2672,34816801.877228,2323,2323,118141.000000,661836.265540,235,2088,10.116229
REDE_COMPLETA,8,CARUARU,PE,0,2654,2654,21341319.339644,2132,2132,87317.000000,528605.667426,224,1908,10.506567
REDE_COMPLETA,7,NATAL,RN,0,2642,2642,22250427.201873,2107,2107,72644.000000,498501.756761,215,1892,10.204082
REDE_COMPLETA,9,SALVADOR,BA,0,2731,2731,21066060.289292,2113,2113,90029.000000,465535.844050,232,1881,10.979650
REDE_COMPLETA,5,ARACAJU,SE,0,2637,2637,23529731.771560,2104,2104,80911.000000,417588.284083,202,1902,9.600760
REDE_COMPLETA,1,GARANHUNS,PE,0,2624,2624,18380213.437082,1880,1880,63102.000000,392153.401922,194,1686,10.319149
REDE_COMPLETA,92,CABO DE SANTO AGOSTINHO,PE,0,2365,2365,28564884.679230,389,389,29534.000000,360810.784400,33,356,8.483290
REDE_FISICA_SEM_LOJA93,2,RECIFE,PE,0,2695,2695,53377091.636405,2322,2322,151777.000000,836781.421053,173,2149,7.450474
REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,0,2692,2692,43308232.955665,2386,2386,133309.000000,787640.681911,238,2148,9.974853
REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,0,2683,2683,62599992.354728,2305,2305,166885.000000,716082.328825,208,2097,9.023861
REDE_FISICA_SEM_LOJA93,6,JOAO PESSOA,PB,0,2672,2672,34816801.877228,2323,2323,118141.000000,661836.265540,235,2088,10.116229
REDE_FISICA_SEM_LOJA93,8,CARUARU,PE,0,2654,2654,21341319.339644,2132,2132,87317.000000,528605.667426,224,1908,10.506567
REDE_FISICA_SEM_LOJA93,7,NATAL,RN,0,2642,2642,22250427.201873,2107,2107,72644.000000,498501.756761,215,1892,10.204082
REDE_FISICA_SEM_LOJA93,9,SALVADOR,BA,0,2731,2731,21066060.289292,2113,2113,90029.000000,465535.844050,232,1881,10.979650
REDE_FISICA_SEM_LOJA93,5,ARACAJU,SE,0,2637,2637,23529731.771560,2104,2104,80911.000000,417588.284083,202,1902,9.600760
REDE_FISICA_SEM_LOJA93,1,GARANHUNS,PE,0,2624,2624,18380213.437082,1880,1880,63102.000000,392153.401922,194,1686,10.319149
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,0,2365,2365,28564884.679230,389,389,29534.000000,360810.784400,33,356,8.483290
