UNIVERSO,ACAO_PRIMARIA,PARES,SKUS,LOJAS,RECEITA_HISTORICA,PARES_COM_VALOR,VALOR_FINANCEIRO_CONHECIDO,PARES_SEM_VALOR,COBERTURA_VALOR_PCT
LOJA_93_ATACADO_B2B,DESCONTINUAR,29,29,1,0.000000,0,,29,0.000000
LOJA_93_ATACADO_B2B,PROMOVER,20,20,1,293032.013750,1,23874.919000,19,5.000000
LOJA_93_ATACADO_B2B,REPRECIFICAR,33,33,1,75330611.824856,0,,33,0.000000
LOJA_93_ATACADO_B2B,COMPRAR,263,263,1,77504769.612028,12,1264658.694600,251,4.562738
REDE_COMPLETA,DESCONTINUAR,463,357,10,0.000000,73,372923.769829,390,15.766739
REDE_COMPLETA,PROMOVER,772,584,10,6554072.656896,187,6748738.347335,585,24.222798
REDE_COMPLETA,REPRECIFICAR,989,432,11,128382361.589792,0,,989,0.000000
REDE_COMPLETA,COMPRAR,19389,2712,11,345178004.334477,1867,5885046.241771,17522,9.629171
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,434,339,9,0.000000,73,372923.769829,361,16.820276
REDE_FISICA_SEM_LOJA93,PROMOVER,752,573,9,6261040.643146,186,6724863.428335,566,24.734043
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,956,430,10,53051749.764936,0,,956,0.000000
REDE_FISICA_SEM_LOJA93,COMPRAR,19126,2710,10,267673234.722449,1855,4620387.547171,17271,9.698839
