UNIVERSO,ACAO_PRIMARIA,NIVEL_1,PARES,SKUS,RECEITA_HISTORICA,VALOR_FINANCEIRO_CONHECIDO
LOJA_93_ATACADO_B2B,COMPRAR,D - ELETROS,115,115,61120943.601008,1264658.694600
LOJA_93_ATACADO_B2B,COMPRAR,O - MOVEIS,101,101,7507230.787600,
LOJA_93_ATACADO_B2B,COMPRAR,N - INDUSTRIAL E NEGOCIOS,34,34,1287002.409000,
LOJA_93_ATACADO_B2B,COMPRAR,R - ELETRONICOS,13,13,7589592.814420,
LOJA_93_ATACADO_B2B,DESCONTINUAR,N - INDUSTRIAL E NEGOCIOS,13,13,0.000000,
LOJA_93_ATACADO_B2B,DESCONTINUAR,D - ELETROS,12,12,0.000000,
LOJA_93_ATACADO_B2B,DESCONTINUAR,O - MOVEIS,3,3,0.000000,
LOJA_93_ATACADO_B2B,DESCONTINUAR,M - MAQUINAS E MOTORES,1,1,0.000000,
LOJA_93_ATACADO_B2B,PROMOVER,D - ELETROS,9,9,79543.073750,23874.919000
LOJA_93_ATACADO_B2B,PROMOVER,O - MOVEIS,5,5,35609.910000,
LOJA_93_ATACADO_B2B,PROMOVER,N - INDUSTRIAL E NEGOCIOS,4,4,6003.060000,
LOJA_93_ATACADO_B2B,PROMOVER,I - ILUMINACAO,1,1,2202.690000,
LOJA_93_ATACADO_B2B,PROMOVER,R - ELETRONICOS,1,1,169673.280000,
LOJA_93_ATACADO_B2B,REPRECIFICAR,D - ELETROS,22,22,54834260.745276,
LOJA_93_ATACADO_B2B,REPRECIFICAR,R - ELETRONICOS,10,10,18977510.778747,
LOJA_93_ATACADO_B2B,REPRECIFICAR,O - MOVEIS,1,1,1518840.300833,
REDE_COMPLETA,COMPRAR,B - UTILIDADES DOMESTICAS,3617,524,15686022.093534,78023.694200
REDE_COMPLETA,COMPRAR,"K - CAMA, MESA E BANHO",2921,355,18944074.256464,32729.352400
REDE_COMPLETA,COMPRAR,C - PISOS E REVESTIMENTOS,2017,325,52378619.776371,1221125.085600
REDE_COMPLETA,COMPRAR,D - ELETROS,1715,283,117394959.326068,2762019.587400
REDE_COMPLETA,COMPRAR,I - ILUMINACAO,1563,211,19742021.604382,1034042.254171
REDE_COMPLETA,COMPRAR,O - MOVEIS,1453,193,18728924.953100,336892.362200
REDE_COMPLETA,COMPRAR,U - METAIS E ACESSORIOS,1066,141,17956964.606775,58516.579200
REDE_COMPLETA,COMPRAR,V - DECORACAO,1008,127,6989512.028068,3671.358000
REDE_COMPLETA,COMPRAR,E - MATERIAIS ELETRICOS,841,109,9453120.960953,259869.025400
REDE_COMPLETA,COMPRAR,W - LOUCAS E PIAS,649,90,4582281.791500,8075.126400
REDE_COMPLETA,COMPRAR,S - TINTAS E QUIMICOS,547,65,18713886.871468,
REDE_COMPLETA,COMPRAR,N - INDUSTRIAL E NEGOCIOS,509,72,4874861.145000,
REDE_COMPLETA,COMPRAR,"G - PORTAS, JANELAS E FECHADURAS",254,39,4290302.853500,29661.700000
REDE_COMPLETA,COMPRAR,"L - INFANTIL, LAZER E PETS",206,27,740921.583500,56545.775200
REDE_COMPLETA,COMPRAR,R - ELETRONICOS,199,27,21255155.991694,
REDE_COMPLETA,COMPRAR,Q - BASICOS CONSTRUCAO,185,22,754331.761750,
REDE_COMPLETA,COMPRAR,M - MAQUINAS E MOTORES,142,21,3453180.990000,
REDE_COMPLETA,COMPRAR,F - FERRAMENTAS,138,21,7027943.467750,
REDE_COMPLETA,COMPRAR,A - AUTOMOTIVO,127,19,1330556.527250,
REDE_COMPLETA,COMPRAR,H - TUBOS E CONEXOES,112,26,494468.782500,
REDE_COMPLETA,COMPRAR,J - JARDINAGEM,59,7,192302.873000,
REDE_COMPLETA,COMPRAR,T - ARTIGOS DE EPOCA,44,6,108127.551850,3874.341600
REDE_COMPLETA,COMPRAR,Y - EPI,17,2,85462.538000,
REDE_COMPLETA,DESCONTINUAR,I - ILUMINACAO,73,62,0.000000,93309.890269
REDE_COMPLETA,DESCONTINUAR,D - ELETROS,62,48,0.000000,171268.695600
