UNIVERSO,ACAO_PRIMARIA,COD_EMPRESA,CD_CIDADE,CD_ESTADO,FLAG_LOJA93,PARES,SKUS,RECEITA_HISTORICA,VALOR_FINANCEIRO_CONHECIDO
LOJA_93_ATACADO_B2B,COMPRAR,93,ALHANDRA,PB,1,263,263,77504769.612028,1264658.694600
LOJA_93_ATACADO_B2B,DESCONTINUAR,93,ALHANDRA,PB,1,29,29,0.000000,
LOJA_93_ATACADO_B2B,PROMOVER,93,ALHANDRA,PB,1,20,20,293032.013750,23874.919000
LOJA_93_ATACADO_B2B,REPRECIFICAR,93,ALHANDRA,PB,1,33,33,75330611.824856,
REDE_COMPLETA,COMPRAR,4,RECIFE,PE,0,2248,2248,37071927.301069,587165.330911
REDE_COMPLETA,COMPRAR,6,JOAO PESSOA,PB,0,2228,2228,30583340.531799,557958.341340
REDE_COMPLETA,COMPRAR,2,RECIFE,PE,0,2194,2194,46243999.675101,701472.961253
REDE_COMPLETA,COMPRAR,3,SALVADOR,BA,0,2172,2172,47895135.417997,598052.911425
REDE_COMPLETA,COMPRAR,8,CARUARU,PE,0,2074,2074,18946052.167078,467069.159626
REDE_COMPLETA,COMPRAR,9,SALVADOR,BA,0,2039,2039,18704761.617658,408566.392050
REDE_COMPLETA,COMPRAR,5,ARACAJU,SE,0,2023,2023,20789721.713439,351897.295883
REDE_COMPLETA,COMPRAR,7,NATAL,RN,0,2017,2017,19318593.792100,409066.584761
REDE_COMPLETA,COMPRAR,1,GARANHUNS,PE,0,1812,1812,15851312.866778,343849.189522
REDE_COMPLETA,COMPRAR,92,CABO DE SANTO AGOSTINHO,PE,0,319,319,12268389.639430,195289.380400
REDE_COMPLETA,COMPRAR,93,ALHANDRA,PB,1,263,263,77504769.612028,1264658.694600
REDE_COMPLETA,DESCONTINUAR,92,CABO DE SANTO AGOSTINHO,PE,0,189,189,0.000000,158399.460829
REDE_COMPLETA,DESCONTINUAR,1,GARANHUNS,PE,0,45,45,0.000000,15.980000
REDE_COMPLETA,DESCONTINUAR,8,CARUARU,PE,0,43,43,0.000000,1758.740000
REDE_COMPLETA,DESCONTINUAR,3,SALVADOR,BA,0,35,35,0.000000,170596.219600
REDE_COMPLETA,DESCONTINUAR,6,JOAO PESSOA,PB,0,31,31,0.000000,
REDE_COMPLETA,DESCONTINUAR,93,ALHANDRA,PB,1,29,29,0.000000,
REDE_COMPLETA,DESCONTINUAR,5,ARACAJU,SE,0,28,28,0.000000,1125.180000
REDE_COMPLETA,DESCONTINUAR,7,NATAL,RN,0,25,25,0.000000,182.360000
REDE_COMPLETA,DESCONTINUAR,2,RECIFE,PE,0,24,24,0.000000,40845.829400
REDE_COMPLETA,DESCONTINUAR,4,RECIFE,PE,0,14,14,0.000000,
REDE_COMPLETA,PROMOVER,92,CABO DE SANTO AGOSTINHO,PE,0,167,167,1147668.998262,3789657.610308
REDE_COMPLETA,PROMOVER,2,RECIFE,PE,0,141,141,1547945.886058,1202370.618147
REDE_COMPLETA,PROMOVER,1,GARANHUNS,PE,0,95,95,238395.192000,4777.785000
REDE_COMPLETA,PROMOVER,3,SALVADOR,BA,0,88,88,2259402.023276,1399117.678280
REDE_COMPLETA,PROMOVER,7,NATAL,RN,0,60,60,227564.137500,3368.208000
REDE_COMPLETA,PROMOVER,5,ARACAJU,SE,0,57,57,225315.021750,303400.951800
REDE_COMPLETA,PROMOVER,4,RECIFE,PE,0,56,56,353191.731300,16302.561000
REDE_COMPLETA,PROMOVER,8,CARUARU,PE,0,51,51,157422.573000,243.789000
REDE_COMPLETA,PROMOVER,6,JOAO PESSOA,PB,0,37,37,104135.080000,5624.226800
REDE_COMPLETA,PROMOVER,93,ALHANDRA,PB,1,20,20,293032.013750,23874.919000
REDE_COMPLETA,REPRECIFICAR,3,SALVADOR,BA,0,143,143,12169613.496206,
REDE_COMPLETA,REPRECIFICAR,4,RECIFE,PE,0,140,140,5668380.357922,
REDE_COMPLETA,REPRECIFICAR,2,RECIFE,PE,0,129,129,5213221.289320,
REDE_COMPLETA,REPRECIFICAR,6,JOAO PESSOA,PB,0,97,97,4011507.871203,
REDE_COMPLETA,REPRECIFICAR,7,NATAL,RN,0,91,91,2572476.159776,
REDE_COMPLETA,REPRECIFICAR,5,ARACAJU,SE,0,81,81,2294431.539525,
REDE_COMPLETA,REPRECIFICAR,9,SALVADOR,BA,0,74,74,2361298.671635,
REDE_COMPLETA,REPRECIFICAR,92,CABO DE SANTO AGOSTINHO,PE,0,74,74,14664704.075999,
REDE_COMPLETA,REPRECIFICAR,1,GARANHUNS,PE,0,69,69,2049645.053470,
REDE_COMPLETA,REPRECIFICAR,8,CARUARU,PE,0,58,58,2046471.249880,
REDE_COMPLETA,REPRECIFICAR,93,ALHANDRA,PB,1,33,33,75330611.824856,
REDE_FISICA_SEM_LOJA93,COMPRAR,4,RECIFE,PE,0,2248,2248,37071927.301069,587165.330911
REDE_FISICA_SEM_LOJA93,COMPRAR,6,JOAO PESSOA,PB,0,2228,2228,30583340.531799,557958.341340
REDE_FISICA_SEM_LOJA93,COMPRAR,2,RECIFE,PE,0,2194,2194,46243999.675101,701472.961253
REDE_FISICA_SEM_LOJA93,COMPRAR,3,SALVADOR,BA,0,2172,2172,47895135.417997,598052.911425
REDE_FISICA_SEM_LOJA93,COMPRAR,8,CARUARU,PE,0,2074,2074,18946052.167078,467069.159626
REDE_FISICA_SEM_LOJA93,COMPRAR,9,SALVADOR,BA,0,2039,2039,18704761.617658,408566.392050
REDE_FISICA_SEM_LOJA93,COMPRAR,5,ARACAJU,SE,0,2023,2023,20789721.713439,351897.295883
REDE_FISICA_SEM_LOJA93,COMPRAR,7,NATAL,RN,0,2017,2017,19318593.792100,409066.584761
REDE_FISICA_SEM_LOJA93,COMPRAR,1,GARANHUNS,PE,0,1812,1812,15851312.866778,343849.189522
REDE_FISICA_SEM_LOJA93,COMPRAR,92,CABO DE SANTO AGOSTINHO,PE,0,319,319,12268389.639430,195289.380400
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,92,CABO DE SANTO AGOSTINHO,PE,0,189,189,0.000000,158399.460829
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,1,GARANHUNS,PE,0,45,45,0.000000,15.980000
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,8,CARUARU,PE,0,43,43,0.000000,1758.740000
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,3,SALVADOR,BA,0,35,35,0.000000,170596.219600
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,6,JOAO PESSOA,PB,0,31,31,0.000000,
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,5,ARACAJU,SE,0,28,28,0.000000,1125.180000
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,7,NATAL,RN,0,25,25,0.000000,182.360000
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,2,RECIFE,PE,0,24,24,0.000000,40845.829400
REDE_FISICA_SEM_LOJA93,DESCONTINUAR,4,RECIFE,PE,0,14,14,0.000000,
REDE_FISICA_SEM_LOJA93,PROMOVER,92,CABO DE SANTO AGOSTINHO,PE,0,167,167,1147668.998262,3789657.610308
REDE_FISICA_SEM_LOJA93,PROMOVER,2,RECIFE,PE,0,141,141,1547945.886058,1202370.618147
REDE_FISICA_SEM_LOJA93,PROMOVER,1,GARANHUNS,PE,0,95,95,238395.192000,4777.785000
REDE_FISICA_SEM_LOJA93,PROMOVER,3,SALVADOR,BA,0,88,88,2259402.023276,1399117.678280
REDE_FISICA_SEM_LOJA93,PROMOVER,7,NATAL,RN,0,60,60,227564.137500,3368.208000
REDE_FISICA_SEM_LOJA93,PROMOVER,5,ARACAJU,SE,0,57,57,225315.021750,303400.951800
REDE_FISICA_SEM_LOJA93,PROMOVER,4,RECIFE,PE,0,56,56,353191.731300,16302.561000
REDE_FISICA_SEM_LOJA93,PROMOVER,8,CARUARU,PE,0,51,51,157422.573000,243.789000
REDE_FISICA_SEM_LOJA93,PROMOVER,6,JOAO PESSOA,PB,0,37,37,104135.080000,5624.226800
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,3,SALVADOR,BA,0,143,143,12169613.496206,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,4,RECIFE,PE,0,140,140,5668380.357922,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,2,RECIFE,PE,0,129,129,5213221.289320,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,6,JOAO PESSOA,PB,0,97,97,4011507.871203,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,7,NATAL,RN,0,91,91,2572476.159776,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,5,ARACAJU,SE,0,81,81,2294431.539525,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,9,SALVADOR,BA,0,74,74,2361298.671635,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,92,CABO DE SANTO AGOSTINHO,PE,0,74,74,14664704.075999,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,1,GARANHUNS,PE,0,69,69,2049645.053470,
REDE_FISICA_SEM_LOJA93,REPRECIFICAR,8,CARUARU,PE,0,58,58,2046471.249880,
