UNIVERSO_OPERACIONAL,COD_EMPRESA,CD_CIDADE,CD_ESTADO,CODIGO,DESCRICAO,NIVEL_1,CURVA_ABC_RECEITA,CURVA_ABC_ORIGEM,REPRICING_N_EMBALAGENS,REPRICING_FAIXA,SINAL_MARGEM_AUDITAVEL,SINAL_PRECO_LISTA,FLAG_CUSTO_VALIDO,MARGEM_BRUTA_PCT_COM_CUSTO,FLAG_MARGEM_NEGATIVA,REPRICING_RECEITA,ACAO_PRIMARIA,FAIXA_PRIORIDADE
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,467774,COND.SPLIT 9000 COND.S3UQ09 INV. 143,D - ELETROS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,ALTA,0,1,0,,0,10909415.010799,REPRECIFICAR,ALTA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,467770,COND.SPLIT 9000 COND.S3UQ09 INV. 141,D - ELETROS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,ALTA,0,1,0,,0,8555416.949095,REPRECIFICAR,ALTA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,470176,LAV.ROUPA 13.0KG BWK13AB     BR M220,D - ELETROS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,ALTA,0,1,1,40.414805,0,7136044.150289,REPRECIFICAR,ALTA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,467773,COND.SPLIT 9000 EVAP.S3NQ09 INV. 143,D - ELETROS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,ALTA,0,1,0,,0,5375681.952914,REPRECIFICAR,ALTA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,466938,TV LED 50 UHD SMT 4K     50UR8750PSA,R - ELETRONICOS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,ALTA,0,1,0,,0,3611342.343534,REPRECIFICAR,MEDIA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,442061,TV LED 43 FHD SMT        43LM6370PSB,R - ELETRONICOS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,ALTA,0,1,0,,0,2818676.709610,REPRECIFICAR,MEDIA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,452083,LAV.ROUPA 12.0KG CWH12BBB    BR M220,D - ELETROS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,ALTA,0,1,0,,0,2775401.578596,REPRECIFICAR,MEDIA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,402016,REFRIG. 2P 340L FF    BR  CRM39 M220,D - ELETROS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,ALTA,0,1,0,,0,2564829.257638,REPRECIFICAR,MEDIA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,466940,TV LED 65 UHD SMT 4K     65UR8750PSA,R - ELETRONICOS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,ALTA,0,1,0,,0,2483211.340439,REPRECIFICAR,MEDIA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,461150,REFRIG. 2P 400L FF BRM54JBB  BR M220,D - ELETROS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,ALTA,0,1,0,,0,2415981.178625,REPRECIFICAR,MEDIA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,466937,TV LED 43 UHD SMT 4K     43UR7800PSA,R - ELETRONICOS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,ALTA,0,1,0,,0,2073463.346747,REPRECIFICAR,BAIXA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,481696,TV LED 50 UHD SMT 4K   UN50DU7700GXZ,R - ELETRONICOS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,MEDIA,0,1,0,,0,1979734.312100,REPRECIFICAR,BAIXA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,484435,TV LED 65 HDR SMT 4K NANO 65NANO80TS,R - ELETRONICOS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,MEDIA,0,1,0,,0,1933453.889500,REPRECIFICAR,BAIXA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,460689,CAMA CONJUGADA OURO      138X188X064,O - MOVEIS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,MEDIA,0,1,0,,0,1518840.300833,REPRECIFICAR,BAIXA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,101702,REFRIG. 1P 261L DSECO BR  CRA30 M220,D - ELETROS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,MEDIA,0,1,0,,0,1432849.510750,REPRECIFICAR,BAIXA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,466942,TV LED 86 UHD SMT 4K     86UR8750PSA,R - ELETRONICOS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,MEDIA,0,1,0,,0,1358924.272125,REPRECIFICAR,BAIXA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,420164,LAV.ROUPA 11KG DIG LES11     BR M220,D - ELETROS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,MEDIA,0,1,0,,0,1321901.635750,REPRECIFICAR,BAIXA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,470857,COND.SPLIT 12000 COND.AR12CV INV.171,D - ELETROS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,MEDIA,0,1,0,,0,1247638.191090,REPRECIFICAR,BAIXA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,467965,COND.SPLIT 12000 COND.38AGVC INV.158,D - ELETROS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,MEDIA,0,1,1,34.741659,0,1245306.891630,REPRECIFICAR,BAIXA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,487782,TV LED 50 UHD SMT 4K     50UT8050PSA,R - ELETRONICOS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,MEDIA,0,1,0,,0,1135402.487692,REPRECIFICAR,BAIXA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,470858,COND.SPLIT 18000 COND.AR18CV INV.172,D - ELETROS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,MEDIA,0,1,0,,0,1105425.053275,REPRECIFICAR,BAIXA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,420161,"LAV.ROUPA 8,5 KG DIG. LES09  BR M220",D - ELETROS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,MEDIA,0,1,0,,0,1090150.298438,REPRECIFICAR,BAIXA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,418427,FOGAO PISO 5B VID. AGATA 5090 PTMBIV,D - ELETROS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,MEDIA,0,1,0,,0,1020492.399062,REPRECIFICAR,BAIXA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,401646,REFRIG. 2P 371L FF     DFN41 BR M220,D - ELETROS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,MEDIA,0,1,0,,0,940863.053625,REPRECIFICAR,BAIXA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,456651,COND.SPLIT 12000 COND.S4UW12 QF  116,D - ELETROS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,MEDIA,0,1,0,,0,879762.333700,REPRECIFICAR,BAIXA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,452735,FOGAO PISO 4B TOP GLASS      PT MBIV,D - ELETROS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,MEDIA,0,1,0,,0,854886.729000,REPRECIFICAR,BAIXA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,470177,LAV.ROUPA 13.0KG BWK13AB     BR M127,D - ELETROS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,MEDIA,0,1,0,,0,841025.601500,REPRECIFICAR,BAIXA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,469135,FOGAO PISO 5B          FE5GP PT MBIV,D - ELETROS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,MEDIA,0,1,1,52.820642,0,798336.168000,REPRECIFICAR,BAIXA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,455220,REFRIG. 2P 260L DF     DC35A BR M220,D - ELETROS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,MEDIA,0,1,0,,0,798196.605500,REPRECIFICAR,BAIXA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,454967,LAV.ROUPA 14KG DIG LED14   BR M220,D - ELETROS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,MEDIA,0,1,0,,0,797864.718000,REPRECIFICAR,BAIXA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,489642,TV LED 75 UHD SMT 4K        75UT8050,R - ELETRONICOS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,MEDIA,0,1,0,,0,792910.713000,REPRECIFICAR,BAIXA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,487786,TV LED 55 OLED SMT 4K    OLED55C4PSA,R - ELETRONICOS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,MEDIA,0,1,0,,0,790391.364000,REPRECIFICAR,BAIXA
LOJA_93_ATACADO_B2B,93,ALHANDRA,PB,460283,LAV.ROUPA 17KG BWK17ABANA  BR M220V,D - ELETROS,A,REDE_COMPLETA_FALLBACK_LOJA93,1.000000,MEDIA,0,1,0,,0,726791.478000,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,480680,REFRIG. 2P 391L FF RT38DG61  IX MBIV,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,1723994.277492,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,470176,LAV.ROUPA 13.0KG BWK13AB     BR M220,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,1322302.060625,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,467774,COND.SPLIT 9000 COND.S3UQ09 INV. 143,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,1241311.630881,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,467770,COND.SPLIT 9000 COND.S3UQ09 INV. 141,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,1128756.892075,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,463732,REFRIG. 2P 347L FF RT468MTA  BR M220,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,1086177.001000,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,412281,LAV.ROUPA 11KG+SEC. CV5011T  PR M220,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,1058034.384750,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,463743,REFRIG. 2P 347L FF RT468MTA  IX M220,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,839017.394250,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,463955,LAV.ROUPA 13KG WG-02         BR M220,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,811587.714000,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,470177,LAV.ROUPA 13.0KG BWK13AB     BR M127,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,729629.315800,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,1,GARANHUNS,PE,442061,TV LED 43 FHD SMT        43LM6370PSB,R - ELETRONICOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,632908.920000,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,467773,COND.SPLIT 9000 EVAP.S3NQ09 INV. 143,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,611564.825214,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,467769,COND.SPLIT 9000 EVAP.S3NQ09 INV. 141,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,592968.267463,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,466940,TV LED 65 UHD SMT 4K     65UR8750PSA,R - ELETRONICOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,550650.493167,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,466938,TV LED 50 UHD SMT 4K     50UR8750PSA,R - ELETRONICOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,524697.436375,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,463951,LAV.ROUPA 11KG SMART WK-02   BR M220,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,516515.055000,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,481696,TV LED 50 UHD SMT 4K   UN50DU7700GXZ,R - ELETRONICOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,478895.013450,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,442061,TV LED 43 FHD SMT        43LM6370PSB,R - ELETRONICOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,425497.852500,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,420164,LAV.ROUPA 11KG DIG LES11     BR M220,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,404780.740000,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,467963,COND.SPLIT 9000 COND. 38AGVC INV.157,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,1,38.532072,0,394394.628900,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,401646,REFRIG. 2P 371L FF     DFN41 BR M220,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,377866.240500,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,461150,REFRIG. 2P 400L FF BRM54JBB  BR M220,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,358479.670500,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,2,RECIFE,PE,442061,TV LED 43 FHD SMT        43LM6370PSB,R - ELETRONICOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,346417.029000,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,7,NATAL,RN,442061,TV LED 43 FHD SMT        43LM6370PSB,R - ELETRONICOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,344396.136000,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,442061,TV LED 43 FHD SMT        43LM6370PSB,R - ELETRONICOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,339324.725250,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,429455,TOM.CJ.1T 2P+T 10A        LGX030 POP,E - MATERIAIS ELETRICOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,1,22.749416,0,327949.567590,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,442061,TV LED 43 FHD SMT        43LM6370PSB,R - ELETRONICOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,325790.790500,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,452083,LAV.ROUPA 12.0KG CWH12BBB    BR M220,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,319516.239000,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,466937,TV LED 43 UHD SMT 4K     43UR7800PSA,R - ELETRONICOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,313547.503500,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,484435,TV LED 65 HDR SMT 4K NANO 65NANO80TS,R - ELETRONICOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,280457.268000,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,463959,FREEZER HOR. 1P 100L CFA10B2 BR M220,N - INDUSTRIAL E NEGOCIOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,278689.257000,REPRECIFICAR,MEDIA
